,为生产农、林、牧、渔业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产农、林、牧、渔业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.030299564351,0.0334808463282,0.248499100586,0.203120110106,0.00143429864121,0.0169285948375,0.0449872249611,0.0818473618768,0.0431268986117,0.0576817824468,0.0119717393765,0.0549628793056,0.05863972898,0.0478124182774,0.0267345149783,0.00927191041216,0.160854089145
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.0299297377461,0.0336703899734,0.249625263513,0.207702468812,0.00163197925203,0.0200843077217,0.0456464007522,0.0790330237786,0.0406595006809,0.0570749644925,0.0124166014459,0.0622433690819,0.0668721512265,0.0460773688915,0.0290459636804,0.0107473034581,0.176006986546
2011年,,,,,,,,,,,,,,,,,
2012年,0.0183622069176,0.0237762248445,0.252496351635,0.218528525024,0.00259491310319,0.0248098536334,0.0510058312175,0.0545272866667,0.0504992526131,0.0483078665992,0.0117895839395,0.0485614992361,0.0639340641105,0.0322005269533,0.0401126059066,0.00663236673816,0.185911313384
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
