,为生产建筑业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产建筑业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.114536656461,0.052489132116,0.0500600039968,0.22351915817,0.012231821424,0.0351750211596,0.0948740755266,0.341701632344,0.115900070438,0.15930380432,0.0360812069344,0.178465041449,0.236066375599,0.477134680532,0.0566047147612,0.278860486505,0.0381768844087
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.108938864462,0.0525596531154,0.0573205684711,0.211478261,0.013816535159,0.0419923657925,0.101013263776,0.324864975579,0.104974260724,0.141887742444,0.0372592642868,0.20530279514,0.260386027095,0.393174121975,0.0638101493331,0.308045431165,0.0431205119467
2011年,,,,,,,,,,,,,,,,,
2012年,0.103089055786,0.0804104203695,0.0540957143927,0.228061990291,0.0345379447596,0.0632329624239,0.0909124935299,0.219248616156,0.0941204880943,0.125159387227,0.036436938788,0.127940035814,0.232225920847,0.460056743069,0.101778956302,0.269127415938,0.0408351981448
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
