,为生产电力、热力及水的生产和供应业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产电力、热力及水的生产和供应业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,
2007年,0.0520566573757,0.0648663746211,0.0280457593006,0.115788024425,0.00271997737599,0.0306294949797,0.0594704730199,0.371736664741,0.117024603686,0.638489727713,0.0271567548962,0.0836107457746,0.312980417477,0.163692240804,0.0879580644988,0.0201608319308,0.0264582248718
2008年,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,
2010年,0.0522836110297,0.0646789124655,0.0340833611677,0.126321254204,0.0031900193772,0.0387131435415,0.0655183773931,0.35931596493,0.0959983874455,0.584626829302,0.0294000630676,0.096343214521,0.445329256252,0.16107245955,0.0987694173686,0.0251006973193,0.0303492259055
2011年,,,,,,,,,,,,,,,,,
2012年,0.0458162979549,0.0505667445157,0.0274015728152,0.105575939462,0.0117523456373,0.0570578964257,0.068700445203,0.276159949738,0.108440974994,0.548013611054,0.0185956739968,0.081828173731,0.440023052094,0.133034969155,0.128192442982,0.0173033987352,0.0306053655584
2013年,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,
