,五金、家具及室内装修材料专门零售商品销售额,医药及医疗器材专门零售商品销售额,家用电器及电子产品专门零售商品销售额,文化、体育用品及器材专门零售商品销售额,无店铺及其他零售商品销售额,汽车、摩托车、燃料及零配件专门零售商品销售额,纺织、服装及日用品专门零售商品销售额,综合零售商品销售额,食品、饮料及烟草制品专门零售商品销售额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,68.8358,221.5883,1377.1484,67.5357,17.5595,2664.7966,73.6241,4546.7231,76.8507
2006年,97.7501,252.2954,1848.4302,65.8811,11.1059,2105.2907,232.6049,5162.3823,97.2404
2007年,98.08627,309.06111,2178.094,139.54611,3.11212,1934.20039,205.71775,5660.64833,110.20033
2008年,113.25091,375.08918,2553.28119,180.70828,3.76509,2542.42583,267.25876,6715.60794,138.34389
2009年,82.9346,417.9016,1517.6914,351.276,75.561,5879.6173,222.8314,9111.8731,253.5114
2010年,67.4,437.3,1768.8,376.8,14.9,6228.6,255.5,10789.9,214.4
2011年,86.95626,501.73109,3891.11428,273.91009,68.37936,7542.73634,339.52435,10733.72263,222.64213
2012年,63.97934,638.38567,3407.70729,266.87546,12.76018,6231.23482,369.48267,11446.75756,255.62483
2013年,67.906,782.5316,3352.6046,453.3887,15.2518,6568.2434,376.6699,12569.1284,294.3522
2014年,62.918,1208.4638,2191.8586,484.4575,10.6176,6736.2736,433.2248,12471.7225,307.4802
