,中央艺术表演团体国内演出场次,乐团、合唱团国内演出场次,京剧剧团国内演出场次,其他艺术表演团体国内演出场次,其他部门艺术表演团体国内演出场次,县、市艺术表演团体国内演出场次,国有艺术表演团体国内演出场次,地、市艺术表演团体国内演出场次,戏曲剧团国内演出场次,执行事业会计制度的艺术表演团体国内演出场次,执行企业会计制度的艺术表演团体国内演出场次,文化部门艺术表演团体国内演出场次,文工团、文宣队、乌兰牧骑国内演出场次,曲艺、杂技、木偶、皮影团国内演出场次,歌剧、舞剧、歌舞剧团国内演出场次,歌舞团、轻音乐团国内演出场次,省、区、市艺术表演团体国内演出场次,综合性艺术表演团体国内演出场次,艺术表演团体国内演出场次,话剧、儿童剧、滑稽剧团国内演出场次,集体艺术表演团体国内演出场次
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,3.43,2.53,11.92,386.18,449.79,670.03,373.3,130.84,320.47,,,402.14,48.04,256.03,16.16,75.88,47.63,93.81,851.93,39.01,92.45
2009年,3.05,5.64,19.59,702.82,704.49,936.39,332.97,138.18,434.54,,,421.86,36.65,342.32,22.93,171.82,48.73,100.47,1126.35,12.0,90.55
2010年,3.64,6.52,19.19,850.54,849.65,1076.15,354.36,141.61,460.35,,,428.17,38.88,370.01,28.46,145.15,56.42,213.7,1277.82,14.76,72.92
2011年,4.02,7.41,19.55,1037.84,1051.41,1268.94,351.68,134.45,816.49,385.24,1080.69,414.52,37.3,146.98,24.42,159.98,58.52,256.59,1465.93,16.77,76.42
2012年,2.63,8.67,21.83,800.32,871.33,1047.51,392.33,135.31,479.42,308.71,941.1,378.47,32.75,278.55,32.54,162.32,64.38,201.12,1249.81,54.47,57.16
2013年,3.2,,,1294.01,1252.44,1475.45,277.89,89.99,,277.13,1350.97,375.68,,,,,59.46,,1628.1,,56.22
2014年,3.52,,,1383.91,1343.09,1556.75,278.01,92.73,,266.62,1444.22,367.75,,,,,57.85,,1710.84,,48.91
