,业余无线电二级女运动员发展人数,中国式摔跤二级女运动员发展人数,中国象棋二级女运动员发展人数,举重二级女运动员发展人数,乒乓球二级女运动员发展人数,二级女运动员发展人数,体操二级女运动员发展人数,体育舞蹈二级女运动员发展人数,保龄球二级女运动员发展人数,信鸽二级女运动员发展人数,健美二级女运动员发展人数,健美操二级女运动员发展人数,健身气功二级女运动员发展人数,冬季两项二级女运动员发展人数,冰壶二级女运动员发展人数,冰球二级女运动员发展人数,击剑二级女运动员发展人数,单板滑雪二级女运动员发展人数,台球二级女运动员发展人数,围棋二级女运动员发展人数,国际式摔跤二级女运动员发展人数,国际象棋二级女运动员发展人数,垒球二级女运动员发展人数,壁球二级女运动员发展人数,定向二级女运动员发展人数,射击二级女运动员发展人数,射箭二级女运动员发展人数,帆船二级女运动员发展人数,手球二级女运动员发展人数,技巧二级女运动员发展人数,拔河二级女运动员发展人数,拳击二级女运动员发展人数,排球二级女运动员发展人数,掷球二级女运动员发展人数,摩托艇二级女运动员发展人数,摩托车二级女运动员发展人数,救生二级女运动员发展人数,曲棍球二级女运动员发展人数,柔道二级女运动员发展人数,桥牌二级女运动员发展人数,棒球二级女运动员发展人数,橄榄球二级女运动员发展人数,武术二级女运动员发展人数,毽球二级女运动员发展人数,水球二级女运动员发展人数,汽车二级女运动员发展人数,沙滩排球二级女运动员发展人数,游泳二级女运动员发展人数,滑水二级女运动员发展人数,滑翔二级女运动员发展人数,潜水二级女运动员发展人数,热气球二级女运动员发展人数,现代五项二级女运动员发展人数,田径二级女运动员发展人数,电子竞技二级女运动员发展人数,登山二级女运动员发展人数,皮划艇二级女运动员发展人数,短道速滑二级女运动员发展人数,篮球二级女运动员发展人数,网球二级女运动员发展人数,羽毛球二级女运动员发展人数,自由式滑雪二级女运动员发展人数,自行车二级女运动员发展人数,舞龙舞狮二级女运动员发展人数,航海模型二级女运动员发展人数,航空模型二级女运动员发展人数,艺术体操二级女运动员发展人数,花样游泳二级女运动员发展人数,花样滑冰二级女运动员发展人数,藤球二级女运动员发展人数,街舞二级女运动员发展人数,赛艇二级女运动员发展人数,越野滑雪二级女运动员发展人数,足球二级女运动员发展人数,跆拳道二级女运动员发展人数,跳伞二级女运动员发展人数,跳台滑雪二级女运动员发展人数,跳水二级女运动员发展人数,蹦床二级女运动员发展人数,蹼泳二级女运动员发展人数,车辆模型二级女运动员发展人数,轮滑二级女运动员发展人数,软式网球二级女运动员发展人数,运动飞机二级女运动员发展人数,速度滑冰二级女运动员发展人数,钓鱼二级女运动员发展人数,铁人三项二级女运动员发展人数,门球二级女运动员发展人数,风筝二级女运动员发展人数,飞镖二级女运动员发展人数,马术二级女运动员发展人数,高尔夫球二级女运动员发展人数,高山滑雪二级女运动员发展人数,龙舟二级女运动员发展人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
