,业余无线电等级运动员发展人数,中国式摔跤等级运动员发展人数,中国象棋等级运动员发展人数,举重等级运动员发展人数,乒乓球等级运动员发展人数,体操等级运动员发展人数,体育舞蹈等级运动员发展人数,保龄球等级运动员发展人数,信鸽等级运动员发展人数,健美操等级运动员发展人数,健美等级运动员发展人数,健身气功等级运动员发展人数,冬季两项等级运动员发展人数,冰壶等级运动员发展人数,冰球等级运动员发展人数,击剑等级运动员发展人数,单板滑雪等级运动员发展人数,台球等级运动员发展人数,围棋等级运动员发展人数,国际式摔跤等级运动员发展人数,国际象棋等级运动员发展人数,垒球等级运动员发展人数,壁球等级运动员发展人数,定向等级运动员发展人数,射击等级运动员发展人数,射箭等级运动员发展人数,帆船等级运动员发展人数,手球等级运动员发展人数,技巧等级运动员发展人数,拔河等级运动员发展人数,拳击等级运动员发展人数,排球等级运动员发展人数,掷球等级运动员发展人数,摩托艇等级运动员发展人数,摩托车等级运动员发展人数,救生等级运动员发展人数,曲棍球等级运动员发展人数,柔道等级运动员发展人数,桥牌等级运动员发展人数,棒球等级运动员发展人数,橄榄球等级运动员发展人数,武术等级运动员发展人数,毽球等级运动员发展人数,水球等级运动员发展人数,汽车等级运动员发展人数,沙滩排球等级运动员发展人数,游泳等级运动员发展人数,滑水等级运动员发展人数,滑翔等级运动员发展人数,潜水等级运动员发展人数,热气球等级运动员发展人数,现代五项等级运动员发展人数,田径等级运动员发展人数,电子竞技等级运动员发展人数,登山等级运动员发展人数,皮划艇等级运动员发展人数,短道速滑等级运动员发展人数,等级运动员发展人数,篮球等级运动员发展人数,网球等级运动员发展人数,羽毛球等级运动员发展人数,自由式滑雪等级运动员发展人数,自行车等级运动员发展人数,舞龙舞狮等级运动员发展人数,航海模型等级运动员发展人数,航空模型等级运动员发展人数,艺术体操等级运动员发展人数,花样游泳等级运动员发展人数,花样滑冰等级运动员发展人数,藤球等级运动员发展人数,街舞等级运动员发展人数,赛艇等级运动员发展人数,越野滑雪等级运动员发展人数,足球等级运动员发展人数,跆拳道等级运动员发展人数,跳伞等级运动员发展人数,跳台滑雪等级运动员发展人数,跳水等级运动员发展人数,蹦床等级运动员发展人数,蹼泳等级运动员发展人数,车辆模型等级运动员发展人数,轮滑等级运动员发展人数,软式网球等级运动员发展人数,运动飞机等级运动员发展人数,速度滑冰等级运动员发展人数,钓鱼等级运动员发展人数,铁人三项等级运动员发展人数,门球等级运动员发展人数,风筝等级运动员发展人数,飞镖等级运动员发展人数,马术等级运动员发展人数,高尔夫球等级运动员发展人数,高山滑雪等级运动员发展人数,龙舟等级运动员发展人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
