,专用设备制造业大中型工业亏损企业亏损总额,交通运输设备制造业大中型工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业大中型工业亏损企业亏损总额,其他矿采选业大中型工业亏损企业亏损总额,其它制造业大中型工业亏损企业亏损总额,化学原料及化学制品制造业大中型工业亏损企业亏损总额,化学纤维制造业大中型工业亏损企业亏损总额,医药制造业大中型工业亏损企业亏损总额,印刷业、记录媒介的复制大中型工业亏损企业亏损总额,塑料制品业大中型工业亏损企业亏损总额,大中型工业亏损企业亏损总额,家具制造业大中型工业亏损企业亏损总额,文教体育用品制造业大中型工业亏损企业亏损总额,普通机械制造业大中型工业亏损企业亏损总额,有色金属冶炼及压延加工业大中型工业亏损企业亏损总额,有色金属矿采选业大中型工业亏损企业亏损总额,服装及其他纤维制品制造业大中型工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业大中型工业亏损企业亏损总额,木材及竹材采运业大中型工业亏损企业亏损总额,橡胶制品业大中型工业亏损企业亏损总额,烟草加工业大中型工业亏损企业亏损总额,煤气生产和供应业大中型工业亏损企业亏损总额,煤炭采选业大中型工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业大中型工业亏损企业亏损总额,电子及通信设备制造业大中型工业亏损企业亏损总额,电气机械及器材制造业大中型工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业大中型工业亏损企业亏损总额,石油加工及炼焦业大中型工业亏损企业亏损总额,石油和天然气开采业大中型工业亏损企业亏损总额,纺织业大中型工业亏损企业亏损总额,自来水的生产和供应业大中型工业亏损企业亏损总额,造纸及纸制品业大中型工业亏损企业亏损总额,金属制品业大中型工业亏损企业亏损总额,非金属矿物制造业大中型工业亏损企业亏损总额,非金属矿采选业大中型工业亏损企业亏损总额,食品制造业大中型工业亏损企业亏损总额,食品加工业大中型工业亏损企业亏损总额,饮料制造业大中型工业亏损企业亏损总额,黑色金属冶炼及压延加工业大中型工业亏损企业亏损总额,黑色金属矿采选业大中型工业亏损企业亏损总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
