,中央文物业支出,其他文物机构支出,其他部门文物业支出,博物馆支出,县、市文物业支出,地、市文物业支出,文物业支出,文物保护管理机构支出,文物商店支出,文物科研机构支出,文物部门文物业支出,省、市、区文物业支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,10736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,13916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,15402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,17223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,24290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,34891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,43511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,47996.0,0.0,115684.0,0.0,0.0,0.0,72847.0,0.0,9563.0,0.0,0.0
1999年,0.0,10810.2,0.0,130806.1,0.0,0.0,0.0,78913.7,0.0,12895.2,0.0,0.0
2000年,0.0,15524.0,0.0,144543.0,0.0,0.0,0.0,84759.0,0.0,17597.0,0.0,0.0
2001年,0.0,5326.0,0.0,180935.0,0.0,0.0,0.0,72093.0,0.0,22540.9,0.0,0.0
2002年,0.0,6286.0,0.0,207198.0,0.0,0.0,0.0,83705.0,0.0,21745.0,0.0,0.0
2003年,0.0,9780.0,0.0,226896.0,0.0,0.0,0.0,88383.0,0.0,27248.0,0.0,0.0
2004年,0.0,99083.0,0.0,263181.0,0.0,0.0,0.0,143260.0,0.0,34620.0,0.0,0.0
2005年,0.0,94321.0,0.0,319861.0,0.0,0.0,0.0,187185.0,0.0,42453.0,0.0,0.0
2006年,0.0,112660.6,0.0,363517.7,0.0,0.0,0.0,202865.4,0.0,57332.6,0.0,0.0
2007年,0.0,159438.0,0.0,472082.0,0.0,0.0,0.0,235417.0,0.0,70879.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276187.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290560.0,0.0,86062.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330748.0,0.0,110215.0,0.0,0.0
2011年,199345.2,357889.3,108317.7,1171131.3,721753.9,620160.1,2166745.4,419424.8,82996.0,135304.0,2058427.7,625486.2
2012年,184302.2,493086.3,204260.2,1424802.2,931907.2,792926.7,2609310.7,459987.8,72603.5,158830.9,2405050.5,700174.6
2013年,174240.0,760887.0,319941.0,1706897.0,1302922.0,988398.0,3415825.0,705411.0,71732.0,170898.0,3095884.0,950265.0
2014年,199982.8,799988.9,324458.6,1874197.4,1363455.5,1148663.3,3643551.0,689768.6,72579.8,207016.3,3319092.4,931449.4
