,中国对乌拉圭承包工程派出人数,中国对伯利兹承包工程派出人数,中国对危地马拉承包工程派出人数,中国对厄瓜多尔承包工程派出人数,中国对古巴承包工程派出人数,中国对哥伦比亚承包工程派出人数,中国对哥斯达黎加承包工程派出人数,中国对圣卢西亚承包工程派出人数,中国对圣文森特和格林纳丁斯承包工程派出人数,中国对圭亚那承包工程派出人数,中国对墨西哥承包工程派出人数,中国对多米尼克承包工程派出人数,中国对多米尼加共和国承包工程派出人数,中国对委内瑞拉承包工程派出人数,中国对安提瓜和巴布达承包工程派出人数,中国对尼加拉瓜承包工程派出人数,中国对巴哈马承包工程派出人数,中国对巴巴多斯承包工程派出人数,中国对巴拉圭承包工程派出人数,中国对巴拿马承包工程派出人数,中国对巴西承包工程派出人数,中国对拉丁美洲承包工程派出人数,中国对智利承包工程派出人数,中国对格林纳达承包工程派出人数,中国对洪都拉斯承包工程派出人数,中国对海地承包工程派出人数,中国对牙买加承包工程派出人数,中国对特克斯和凯科斯岛承包工程派出人数,中国对特立尼达和多巴哥承包工程派出人数,中国对玻利维亚承包工程派出人数,中国对秘鲁承包工程派出人数,中国对苏里南承包工程派出人数,中国对英属维尔京群岛承包工程派出人数,中国对阿根廷承包工程派出人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
