,农村居民中等偏上户人均家庭经营纯收入,农村居民中等偏下户人均家庭经营纯收入,农村居民中等收入户人均家庭经营纯收入,农村居民低收入户人均家庭经营纯收入,农村居民家庭平均每人家庭经营纯收入,农村居民高收入户人均家庭经营纯收入
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,1790.7,1033.53,1359.36,599.81,1486.54,3013.07
2003年,1833.93,1057.51,1380.06,590.52,1541.28,3238.28
2004年,2116.93,1208.15,1601.88,684.26,1745.79,3548.93
2005年,2230.97,1230.66,1651.88,662.6,1844.53,3965.85
2006年,2356.46,1265.72,1731.32,698.85,1930.96209649,4172.0
2007年,2635.68,1428.45,1977.97,768.43,2193.67,4857.06
2008年,2945.41,1580.11,2169.31,781.15,2435.56,5512.62
2009年,3081.12,1607.96,2238.29,767.34,2526.78,5778.58
2010年,3462.2,1828.35,2496.56,939.36,2832.8,6419.4
2011年,3947.58458544,2018.59380654,2856.74121726,824.869594681,3221.98,7784.39409536
2012年,4330.3641977,2216.22129782,3124.73667384,937.74002151,3533.36627852,8500.08861498
2013年,,,,,,
2014年,,,,,,
