,中成药制造高技术产业研究与试验发展人员全时当量,仪器仪表制造业高技术产业研究与试验发展人员全时当量,其他电子设备制造高技术产业研究与试验发展人员全时当量,化学药品制造高技术产业研究与试验发展人员全时当量,医疗仪器设备及器械制造业高技术产业研究与试验发展人员全时当量,医疗器械及仪器仪表制造业高技术产业研究与试验发展人员全时当量,医药制造业高技术产业研究与试验发展人员全时当量,家用视听设备制造业高技术产业研究与试验发展人员全时当量,广播电视设备制造业高技术产业研究与试验发展人员全时当量,生物、生化制品的制造高技术产业研究与试验发展人员全时当量,电子元件制造业高技术产业研究与试验发展人员全时当量,电子及通信设备制造业高技术产业研究与试验发展人员全时当量,电子器件制造业高技术产业研究与试验发展人员全时当量,电子计算机及办公设备制造业高技术产业研究与试验发展人员全时当量,电子计算机外部设备制造业高技术产业研究与试验发展人员全时当量,电子计算机整机制造业高技术产业研究与试验发展人员全时当量,航空航天器制造业高技术产业研究与试验发展人员全时当量,通信设备制造业高技术产业研究与试验发展人员全时当量,雷达及配套设备制造业高技术产业研究与试验发展人员全时当量,高技术产业研究与试验发展人员全时当量
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,
2011年,19995.053,52952.769,9683.873,54304.769,11115.289,64068.058,93466.779,19305.573,5534.18,11156.562,65171.06,272062.342,50229.397,49248.447,29444.46,16510.742,32329.26,118435.197,3703.062,511175.0
2012年,24657.0,56508.0,12949.0,58684.0,13521.0,70029.0,106684.0,26550.0,9681.0,13520.0,71897.0,340679.0,69266.0,62783.0,9957.0,18890.0,43071.0,127533.0,3472.0,623249.0
2013年,28339.6,66257.3,15937.4,65241.0,16065.1,82322.4,123200.0,33347.9,12720.8,15854.9,77165.3,356884.9,62395.6,59939.8,9152.9,19877.2,47875.1,127710.8,5980.3,670222.0
2014年,30212.1,69587.6,23337.9,70397.7,16043.7,85631.3,133901.5,28468.8,12460.4,18043.0,80959.5,380682.9,72955.9,60181.2,13053.8,23932.4,41042.9,131845.9,6820.1,701439.9
