,专用设备制造业外商及港澳台商投资工业企业法人资本金,交通运输设备制造业外商及港澳台商投资工业企业法人资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业法人资本金,其他矿采选业外商及港澳台商投资工业企业法人资本金,其它制造业外商及港澳台商投资工业企业法人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业法人资本金,塑料制品业外商及港澳台商投资工业企业法人资本金,外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,文教体育用品制造业外商及港澳台商投资工业企业法人资本金,普通机械制造业外商及港澳台商投资工业企业法人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业法人资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,木材及竹材采运业外商及港澳台商投资工业企业法人资本金,橡胶制品业外商及港澳台商投资工业企业法人资本金,烟草加工业外商及港澳台商投资工业企业法人资本金,煤气生产和供应业外商及港澳台商投资工业企业法人资本金,煤炭采选业外商及港澳台商投资工业企业法人资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业法人资本金,电子及通信设备制造业外商及港澳台商投资工业企业法人资本金,电气机械及器材制造业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业法人资本金,石油加工及炼焦业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,自来水的生产和供应业外商及港澳台商投资工业企业法人资本金,造纸及纸制品业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,非金属矿物制造业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,食品加工业外商及港澳台商投资工业企业法人资本金,饮料制造业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,21.14248,184.44867,9.91809,,12.63419,80.70273,21.39084,34.22885,18.30854,48.24708,1410.49359,5.42493,8.81909,70.03093,27.17224,0.34048,29.38268,15.74885,,11.37497,3.06222,1.95851,0.05711,166.12961,168.56277,96.37435,20.6472,8.49646,,57.55027,0.77985,29.27451,45.44216,72.28659,1.15947,26.05375,24.14046,41.01592,48.11344,0.0733
