,专用设备制造业外商及港澳台商投资工业企业实收资本,交通运输设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业实收资本,其他矿采选业外商及港澳台商投资工业企业实收资本,其它制造业外商及港澳台商投资工业企业实收资本,化学原料及化学制品制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,印刷业、记录媒介的复制外商及港澳台商投资工业企业实收资本,塑料制品业外商及港澳台商投资工业企业实收资本,外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,文教体育用品制造业外商及港澳台商投资工业企业实收资本,普通机械制造业外商及港澳台商投资工业企业实收资本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,服装及其他纤维制品制造业外商及港澳台商投资工业企业实收资本,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,木材及竹材采运业外商及港澳台商投资工业企业实收资本,橡胶制品业外商及港澳台商投资工业企业实收资本,烟草加工业外商及港澳台商投资工业企业实收资本,煤气生产和供应业外商及港澳台商投资工业企业实收资本,煤炭采选业外商及港澳台商投资工业企业实收资本,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业实收资本,电子及通信设备制造业外商及港澳台商投资工业企业实收资本,电气机械及器材制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业实收资本,石油加工及炼焦业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,自来水的生产和供应业外商及港澳台商投资工业企业实收资本,造纸及纸制品业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,非金属矿物制造业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,食品加工业外商及港澳台商投资工业企业实收资本,饮料制造业外商及港澳台商投资工业企业实收资本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
