,其他部门办普通高中在校学生数,农村其他部门办普通高中在校学生数,农村地方企业办普通高中在校学生数,农村教育部门办普通高中在校学生数,农村普通高中在校学生数,农村民办普通高中在校学生数,县镇其他部门办普通高中在校学生数,县镇地方企业办普通高中在校学生数,县镇教育部门办普通高中在校学生数,县镇普通高中在校学生数,县镇民办普通高中在校学生数,地方企业办普通高中在校学生数,城市其他部门办普通高中在校学生数,城市地方企业办普通高中在校学生数,城市教育部门办普通高中在校学生数,城市普通高中在校学生数,城市民办普通高中在校学生数,教育部门办普通高中在校学生数,普通高中在校学生数,民办普通高中在校学生数
1978年,,,,,,,,,,,,,,,,,,,1553.1,
1979年,,,,,,,,,,,,,,,,,,,1292.0,
1980年,,,,,,,,,,,,,,,,,,,969.8,
1981年,,,,,,,,,,,,,,,,,,,715.0,
1982年,,,,,,,,,,,,,,,,,,,640.5,
1983年,,,,,,,,,,,,,,,,,,,629.0,
1984年,,,,,,,,,,,,,,,,,,,689.8,
1985年,,,,,,,,,,,,,,,,,,,741.1,
1986年,,,,,,,,,,,,,,,,,,,773.4,
1987年,,,,,204.29,,,,,342.5,,,,,,226.94,,,773.73,
1988年,,,,,192.1,,,,,331.0,,,,,,222.88,,,745.98,
1989年,,,,,176.4,,,,,322.7,,,,,,217.0,,,716.1,
1990年,,,,,172.8,,,,,328.3,,,,,,216.3,,,717.3,
1991年,,,,,159.7,,,,,344.5,,,,,,218.6,,,722.9,
1992年,,,,,145.7,,,,,343.9,,,,,,215.3,,,704.9,
1993年,,,,,121.3,,,,,322.3,,,,,,213.3,,,656.9,
1994年,,,,,112.5603,,,,,322.4595,,,,,,229.7845,,,664.9,
1995年,,,,,113.1498,,,,,346.1503,,,,,,253.8587,,,713.2,
1996年,,,,,118.4409,,,,,374.6138,,,,,,276.1922,,,769.3,
1997年,,,,,123.6845,,,,,411.5172,,,,,,314.868,,,850.1,
1998年,,,,,131.0436,,,,,450.4608,,,,,,356.4969,,,938.0,
1999年,,,,,141.8843,,,,,501.7292,,,,,,406.0943,,,1049.7,
2000年,,,,,157.8112,,,,,581.0662,,,,,,462.3869,,,1201.26,
2001年,,,,,157.9834,,,,,743.3742,,,,,,503.6141,,,1404.97,
2002年,,,,,186.5796,,,,,902.5532,,,,,,594.6777,,,1683.81,
2003年,,,,,210.3804,,,,,1045.3499,,,,,,709.0958,,,1964.8,
2004年,82.2569,10.3793,,230.8559,255.1326,13.8974,13.5649,,1071.6281,1167.0174,81.8244,,58.3127,,650.8977,798.2201,89.0097,1953.3817,2220.4,184.7315
2005年,66.9007,9.6748,,204.3664,233.6752,19.634,13.2347,,1214.9038,1332.0026,103.8641,,43.9912,,696.1415,843.4123,103.2796,2115.4117,2409.0901,226.7777
2006年,48.4067,8.4436,,200.2262,232.0898,23.42,11.5253,,1337.9652,1470.4187,120.9282,,28.4378,,680.1826,811.9882,103.3678,2218.374,2514.5,247.716
2007年,37.2453,7.4696,,181.2494,209.3282,20.6092,8.0945,,1292.0992,1419.8003,119.6066,,21.6812,,765.8508,893.2723,105.7403,2239.1994,2522.4008,245.9561
2008年,27.4957,6.568,,165.1131,192.1342,20.4531,5.8711,,1282.8331,1407.0082,118.304,,15.0566,,760.544,877.1418,101.5412,2208.4902,2476.2842,240.2983
2009年,22.4297,5.3102,,149.1404,174.1561,19.7055,5.6005,,1276.8853,1394.5001,112.0143,,11.519,,755.693,865.6221,98.4101,2181.7187,2434.2783,230.1299
2010年,21.4985,5.24,,138.2436,162.9035,19.4199,5.7747,,1289.0695,1406.2284,111.3842,,10.4838,,748.4529,858.2032,99.2665,2175.766,2427.3351,230.0706
2011年,19.2639,0.4754,0.0486,87.7021,103.3662,15.1401,8.7426,1.1191,1144.4593,1252.7046,98.3836,1.9975,10.0459,0.8298,966.4166,1098.7519,121.4596,2198.578,2454.8227,234.9833
2012年,18.2119,0.7437,,69.2533,83.4282,13.4312,8.901,0.5759,1153.0198,1264.1342,101.6375,1.0573,8.5672,0.4814,990.6714,1119.6088,119.8888,2212.9445,2467.17,234.9575
2013年,17.2592,0.4635,,66.0536,81.4909,14.9738,8.4567,0.4902,1133.4432,1239.8955,97.5054,0.9597,8.339,0.4695,986.5215,1114.4953,119.1653,2186.0183,2435.8817,231.6445
2014年,17.2301,0.7209,,63.7708,78.6071,14.1154,8.2236,0.2273,1101.3263,1207.9068,98.1296,0.626,8.2856,0.3987,978.8649,1113.9584,126.4092,2143.962,2400.4723,238.6542
