,民族自治地方出口额,民族自治地方进出口总额,民族自治地方进口额
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,,,
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,,,
1996年,,,
1997年,,,
1998年,,,
1999年,,,
2000年,49.67788,85.64098,35.9631
2001年,,,
2002年,,,
2003年,,,
2004年,,,
2005年,126.4,221.5,95.1
2006年,171.9,275.2,103.5
2007年,245.906665,381.080221,135.347606
2008年,367.939861,531.364015,163.424154
2009年,265.719384,415.809117,150.089733
2010年,331.441152,533.264832,201.82368
2011年,425.675023,698.426139,272.751116
2012年,512.981851,821.121678,308.139827
2013年,608.77119814,922.75239655,313.98119841
2014年,,,
