,民族自治地方普通中学专任教师数,民族自治地方普通中学在校学生数,民族自治地方普通小学专任教师数,民族自治地方普通小学在校学生数,民族自治地方普通高等学校专任教师数,民族自治地方普通高等学校在校学生数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,41.5,609.6,84.8,1852.9,2.8,13.6
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,41.47,631.88,85.8,1889.49,3.7,18.6
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,47.89,872.97,89.9402,1886.0084,3.6391,34.2
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,61.1,1082.39,88.1,1667.7,6.3,100.0
2006年,62.57,1092.61,88.2,1653.1,7.1,113.0
2007年,63.7076,1083.5901,89.1405,1645.3871,7.7105,123.4624
2008年,64.7337,1061.5717,89.9776,1615.5343,8.2202,137.4689
2009年,66.1871,1050.1506,90.5851,1580.8933,8.6976,148.5061
2010年,67.4421,1050.3548,90.7285,1536.2948,9.4695,161.8806
2011年,69.8778,1039.6445,89.3862,1484.4181,9.6912,165.9152
2012年,69.3283,1021.4721,88.9401,1478.6986,10.0625,171.8717
2013年,68.6915,999.532,86.0506,1437.7698,10.3154,178.6723
2014年,,,,,,
