,民族自治地方人均地区生产总值,民族自治地方国内生产总值,民族自治地方第一产业增加值,民族自治地方第三产业增加值,民族自治地方第二产业增加值
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0
1995年,3054.73370476,4901.14,1628.55,1526.07,1746.52
1996年,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0
2000年,4451.35184954,7486.149274,2022.303146,2629.414182,2834.431946
2001年,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0
2005年,8991.35115091,15705.9325939,3300.19977,5986.70792393,6419.0249
2006年,10759.0,18659.12,3622.87,6946.71,8089.54
2007年,13092.1786241,22852.7849,4311.5358,8275.8809,10265.3682
2008年,15888.9650722,27940.2019,5002.0115,9736.0283,13202.1621
2009年,15888.9650722,27940.2019,5002.0115,9736.0283,13202.1621
2010年,22060.0,38989.0,6198.0,13982.0,18809.0
2011年,27400.8393114,47915.6673,7242.7401,16787.7885,23885.1387
2012年,30871.1489706,54078.6183,8145.7006,19382.773,26550.1447
2013年,33002.6188296,59322.4637,9036.99542,21707.52188,28566.5407
2014年,0.0,0.0,0.0,0.0,0.0
