,金融机构部门金融交易资金来源_中央银行贷款,金融机构部门金融交易资金来源_保险准备金,金融机构部门金融交易资金来源_其他(净),金融机构部门金融交易资金来源_其他对外债权债务,金融机构部门金融交易资金来源_净金融投资,金融机构部门金融交易资金来源_准备金,金融机构部门金融交易资金来源_国际储备资产,金融机构部门金融交易资金来源_国际收支错误与遗漏,金融机构部门金融交易资金来源_存款,金融机构部门金融交易资金来源_库存现金,金融机构部门金融交易资金来源_未贴现的银行承兑汇票,金融机构部门金融交易资金来源_直接投资,金融机构部门金融交易资金来源_证券,金融机构部门金融交易资金来源_证券公司客户保证金,金融机构部门金融交易资金来源_证券投资基金份额,金融机构部门金融交易资金来源_贷款,金融机构部门金融交易资金来源_资金来源,金融机构部门金融交易资金来源_资金运用,金融机构部门金融交易资金来源_通货,金融机构部门金融交易资金来源_金融机构往来
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
