,金融机构部门金融交易资金运用_中央银行贷款,金融机构部门金融交易资金运用_保险准备金,金融机构部门金融交易资金运用_其他(净),金融机构部门金融交易资金运用_其他对外债权债务,金融机构部门金融交易资金运用_净金融投资,金融机构部门金融交易资金运用_准备金,金融机构部门金融交易资金运用_国际储备资产,金融机构部门金融交易资金运用_国际收支错误与遗漏,金融机构部门金融交易资金运用_存款,金融机构部门金融交易资金运用_库存现金,金融机构部门金融交易资金运用_未贴现的银行承兑汇票,金融机构部门金融交易资金运用_直接投资,金融机构部门金融交易资金运用_证券,金融机构部门金融交易资金运用_证券公司客户保证金,金融机构部门金融交易资金运用_证券投资基金份额,金融机构部门金融交易资金运用_贷款,金融机构部门金融交易资金运用_资金来源,金融机构部门金融交易资金运用_资金运用,金融机构部门金融交易资金运用_通货,金融机构部门金融交易资金运用_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,59.2,,-117.0,,,,,,199.7,,,5695.0,,6193.4,34.2,
1993年,2917.12,,,,349.58,1574.52,101.83,,,221.76,,,140.75,,,7573.55,,12800.89,30.15,52.6
1994年,859.29,,,,-105.23,2062.28,2631.01,,,29.03,,,1123.68,,,9174.66,,16541.22,37.95,26.15
1995年,888.58,,,,-208.34,2280.02,1877.41,,,61.06,,,1460.48,,,9946.4,,17193.53,15.93,-37.67
1996年,3817.06,,,,2081.14,3670.19,2631.52,,,-38.87,,,1143.62,,,15130.59,,27207.57,34.78,-506.27
1997年,,,,,,,,,,,,,,,,,,,,
1998年,-1976.51,,,320.25,277.15,-1742.94,532.01,,141.7,64.22,,,5159.38,,,11375.42,,14663.53,,790.0
1999年,418.86,,,1555.0,-991.02,241.22,704.0,,-787.91,884.15,,,2928.36,,,11018.02,,18927.49,,1965.8
2000年,,,,,,,,,,,,,,,,,,,,
2001年,288.24,,,1852.48,-2381.87,2082.65,3917.01,,215.17,-52.13,,,2796.22,,,11772.07,,21559.05,0.01,-1312.67
2002年,-635.54982099,,,1179.3491727,483.7,1800.78333574,6249.7193562,,192.517904278,141.63117007,,,5747.37269158,,,20259.2319155,,36121.2,0.212147,1185.944277
2003年,1019.97716591,,,2271.73811415,2672.01409667,3896.82255523,9686.001987,,501.906011335,329.718791297,,,8257.00010968,,,27958.5223698,,55668.2883337,1.0,1748.41505298
2004年,-1171.27998242,,,137.938003616,1742.22410484,4353.88396615,17080.335552,,-1572.13191901,76.0694171943,,,13586.0546092,,,24103.2195649,,57162.1198758,-0.963672304,568.994336541
2005年,-1582.88502611,,,2499.33624678,-1462.51751272,2483.60654231,16958.129672,,845.165704614,376.807054635,,,21060.2341169,,,23966.4442381,,70448.1549682,,3379.96289262
2006年,-1629.0,,,8968.0,-2454.0,11214.0,19692.0,,790.0,113.0,,,21825.0,,-195.0,32572.0,,91050.0,,-2300.0
2007年,-8714.0,,,7143.0,20450.0,20713.0,32618.0,,117.0,384.0,,,36367.0,,1591.0,39756.0,,127793.0,,-2183.0
2008年,-485.0,,,1688.0,8490.0,21100.0,29119.0,,3936.0,50.0,,,27641.0,,332.0,52096.0,,131280.0,,-4197.0
2009年,-1589.0,,,-5640.0,2066.0,11507.0,27216.0,,3713.0,416.0,,,25301.0,1370.0,-166.0,107619.0,,170913.0,,1165.0
2010年,469.058602,,2771.0,-1796.22856663,-2438.54678655,33260.799686,31934.3734471,,3461.698956,713.992937,23346.0,,32340.4923081,-207.416283451,-256.448148685,97226.5845625,,225547.17754,-40.2724522825,2323.54249251
2011年,-727.0,,4139.0,-3428.0,-1318.0,36154.0,25057.0,,5396.0,1072.0,10271.0,,18758.0,-571.0,376.0,95764.0,,194721.0,153.0,2308.0
2012年,476.0,,9208.0,403.0,-18554.0,23150.0,6069.0,,5290.0,971.0,10499.0,,38012.0,-232.0,1764.0,122250.0,,227219.0,31.0,9329.0
2013年,412.737557982,,12881.5933577,2656.05140142,-15838.2304539,14302.3222683,26605.9559719,,3931.59060222,441.636629972,7755.65541205,,27700.8483524,-74.605326333,324.98249175,148048.534539,,250781.831364,31.069680724,5763.45842417
2014年,,,,,,,,,,,,,,,,,,,,
