,人身险保费收入,人身险支出,原保险保费收入,原保险赔付支出,财产险保费收入,财产险支出
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,,,,,,
2006年,,,,,,
2007年,50380234.66,12447445.92,70357598.09,22652149.38,19977363.42,10204703.46
2008年,74475273.87,15528335.26,97842371.65,29711659.83,23367097.78,14183324.57
2009年,82614653.76,15496981.68,111372989.22,31254826.89,28758335.46,15757845.21
2010年,106323300.0,14444000.0,145279700.0,32004300.0,38956400.0,17560300.0
2011年,97214300.0,17424400.0,143392500.0,39293700.0,46178200.0,21869300.0
2012年,101570024.62,18999868.23,154879298.09,47163184.6,53309273.47,28163316.38
2013年,110099800.0,27737700.0,172222400.0,62129000.0,62122600.0,34391400.0
2014年,130314300.0,34280000.0,202348100.0,72162100.0,72033800.0,37882100.0
