,外资银行债券,外资银行储备资产,外资银行储蓄存款,外资银行其他存款,外资银行其他负债,外资银行其他资产,外资银行准备金存款,外资银行国外负债,外资银行国外资产,外资银行定期存款,外资银行实收资本,外资银行对中央银行债权,外资银行对中央银行负债,外资银行对其他存款性公司债权,外资银行对其他金融性公司债权,外资银行对其他金融机构负债,外资银行对政府债权,外资银行对特定存款机构负债,外资银行对非金融性公司债权,外资银行对非金融机构负债,外资银行库存现金,外资银行总负债,外资银行总资产,外资银行活期存款,外资银行计入广义货币的存款,外资银行资产不纳入广义货币的存款,外资银行资产可转让存款,外资银行资产对其他居民部门债权,外资银行资产对非金融机构其他负债,外资银行资产纳入广义货币的存款
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.7,1098.3,155.9,598.7,1068.1,824.4,1094.0,3846.8,1378.4,1317.8,1077.2,,,2090.7,37.1,292.8,618.1,2204.0,6235.0,3900.2,4.2,12390.7,12390.7,1186.2,,1240.3,641.6,108.7,,2659.9
2008年,,1309.6,381.2,730.7,1568.7,1102.5,1302.3,3265.7,1719.4,2071.8,1209.6,,34.0,1886.7,65.8,420.3,885.2,1905.9,6617.1,5335.1,7.3,13739.2,13739.2,1348.7,,1533.5,802.8,152.9,,3801.6
2009年,,1415.1,420.4,611.3,1790.9,1299.6,1407.7,2754.7,1483.0,2855.4,1425.8,,,2214.2,87.7,412.7,1217.3,1279.1,6332.1,6687.6,7.5,14350.8,14350.8,1856.4,,1555.5,944.2,301.8,,5132.1
2010年,,2023.7,573.5,869.5,2737.2,2187.3,2014.6,3341.7,1280.4,4962.5,1515.2,,,3630.1,245.0,531.5,1004.5,1212.9,8236.3,9677.7,9.1,19016.2,19016.2,2272.8,,1868.9,999.5,409.0,,7808.8
2011年,11.1,2966.5,1757.2,1323.1,3236.7,2601.0,2955.7,4148.2,1296.2,5419.7,1622.5,,3.5,5041.8,493.3,542.0,1541.5,1617.6,8981.3,12202.2,10.8,23383.7,23383.7,2610.7,,2414.6,1091.4,462.2,,9787.7
2012年,7.2,3228.5,1935.2,1192.0,2082.1,1219.6,3218.4,4082.5,1612.5,5823.0,1941.3,,8.6,5361.3,752.2,817.4,1294.9,2571.0,10510.2,13072.2,10.1,24582.4,24582.4,2912.6,,2401.5,1209.5,603.2,,10670.7
2013年,81.0,3083.0,2040.0,1268.0,1799.0,849.0,3073.0,5268.0,1128.0,7193.0,1586.0,127.0,1.0,6313.0,1400.0,736.0,1535.0,1227.0,10581.0,15108.0,10.0,25805.0,25805.0,2887.0,552.0,2426.0,1158.0,790.0,561.0,12120.0
2014年,115.0,3205.0,1930.0,1372.0,2092.0,877.0,3194.0,6057.0,1889.0,7440.0,1654.0,40.0,2.0,5775.0,2125.0,709.0,2185.0,1785.0,11077.0,15731.0,11.0,28143.0,28143.0,3315.0,512.0,2621.0,1249.0,970.0,424.0,12685.0
