,金融机构人民币信贷资金来源,金融机构资金来源各项存款,金融机构资金来源各项存款中个人存款,金融机构资金来源各项存款中临时性存款,金融机构资金来源各项存款中单位存款,金融机构资金来源各项存款中委托存款,金融机构资金来源各项存款中财政性存款,金融机构资金来源对国际金融机构负债,金融机构资金来源流通中货币,金融机构资金来源金融债券
1978年,1930.57,1155.01,0.0,0.0,368.43,0.0,187.35,0.0,212.0,0.0
1979年,2127.77,1362.56,0.0,0.0,468.91,0.0,148.68,0.0,267.7,0.0
1980年,2684.14,1689.66,0.0,0.0,561.01,0.0,160.68,31.8,346.2,0.0
1981年,3157.09,2097.19,0.0,0.0,676.96,0.0,194.29,47.1,396.34,0.0
1982年,3629.7,2449.05,0.0,0.0,761.64,0.0,175.76,47.4,439.12,0.0
1983年,4141.29,2883.32,0.0,0.0,864.99,0.0,229.89,78.8,529.78,0.0
1984年,5443.91,3735.33,0.0,0.0,1251.79,0.0,210.93,55.7,792.11,0.0
1985年,6767.14,4559.95,0.0,0.0,1735.89,0.0,404.1,69.9,987.83,8.2
1986年,8823.64,5933.88,0.0,0.0,2265.94,0.0,348.61,113.5,1218.36,26.8
1987年,10713.3,7392.4,0.0,0.0,2701.12,0.0,331.98,173.2,1454.48,58.6
1988年,13111.22,8810.36,0.0,0.0,3010.26,0.0,294.1,148.63,2134.03,75.55
1989年,15673.12,10709.57,0.0,0.0,3174.11,0.0,460.79,138.7,2344.02,80.8
1990年,19489.56,13942.94,0.0,0.0,4063.9,0.0,427.11,185.7,2644.87,108.3
1991年,24079.84,17972.84,0.0,0.0,5215.29,0.0,504.29,184.7,3177.8,168.7
1992年,29159.18,23143.81,0.0,0.0,7074.94,0.0,250.16,236.0,4336.0,237.4
1993年,37390.75,29645.99,0.0,0.0,8673.77,0.0,502.34,217.3,5864.7,196.1
1994年,49240.46,40502.54,0.0,0.0,13278.98,0.0,862.26,120.0,7288.6,93.5
1995年,63925.22,53882.1,0.0,0.0,17323.82,0.0,1005.4,116.7,7885.34,1683.8
1996年,78704.87,68595.59,0.0,0.0,22450.17,0.0,1274.16,120.2,8802.01,2484.2
1997年,96526.87,82392.79,0.0,0.0,28656.25,0.0,1574.9,196.5,10177.61,29.9
1998年,112396.28,95697.94,0.0,0.0,32486.63,0.0,2187.89,174.4,11204.15,56.2
1999年,123230.6,108778.94,0.0,0.0,37182.36,0.0,2128.4,371.9,13455.5,39.5
2000年,133325.32,123804.35,0.0,0.0,44093.73,0.0,3508.09,368.3,14652.65,30.19
2001年,153539.78,143617.17,0.0,0.0,51546.63,0.0,3369.75,484.51,15688.8,51.38
2002年,184024.52,170917.4,0.0,0.0,60028.57,0.0,3481.9,423.05,17278.03,90.34
2003年,225313.26,208055.59,0.0,0.0,72487.05,0.0,5126.94,482.57,19745.99,2226.27
2004年,261910.8,240525.07,0.0,0.0,84670.57,0.0,6236.17,562.285965699,21468.3,3954.67
2005年,302042.84,287169.52,0.0,0.0,96143.74,0.0,7996.26,641.57,24031.67,5672.79
2006年,365168.252634,335434.1,0.0,0.0,113215.69,0.0,10926.68,926.34,27072.62,6483.35
2007年,454267.97,389371.15,0.0,0.0,138673.7,0.0,17632.46,947.28,30334.32,11505.04
2008年,538405.59,466203.32,0.0,0.0,157632.21,0.0,18040.44,732.59,30218.96,20852.48
2009年,681874.78,597741.1,0.0,0.0,217109.99,0.0,22411.49,761.72,38245.97,16203.41
2010年,805879.09,718237.93,0.0,0.0,244495.62,6465.3510788,25454.97,720.08,44628.17,13526.85
2011年,913226.33,809368.332268,353536.429373,1570.1383873,410912.047526,308.472377897,26223.0684065,776.46,50748.4614964,10038.8319383
2012年,1024067.49,917554.77,411002.77,1632.54,458821.04,226.86,24426.41,827.68,54659.77,8487.57
2013年,1174666.17327,1043846.86452,466502.393244,1661.0582331,520825.904684,354.326063857,30133.4658091,854.45,58574.4440209,6681.00152046
2014年,1323453.02793,1138644.64136,507831.091105,1097.83093167,565249.120143,441.748679765,35664.4793399,867.18,60259.5288406,9843.20042088
