,中资保险公司资产,保险业资产总额,再保险公司资产,外资保险公司资产,寿险公司资产,财产险公司资产
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,6320.0,211.0,0.0,5161.0,948.0
2003年,0.0,9088.0,255.0,0.0,7657.0,1176.0
2004年,11540.63,11953.68,262.37,413.05,8352.9,1411.38
2005年,14630.97,15286.44,292.7,665.64,13458.27,1718.81
2006年,18862.6,19704.19,311.31,862.66,17446.26,2340.45
2007年,27656.26,28912.78,877.26,1256.51,23249.16,3880.51
2008年,31893.93,33418.83,994.45,1524.91,27138.45,4687.03
2009年,38582.37,40634.75,1162.01,2052.39,33655.05,4892.62
2010年,47860.491046,50481.608647,1151.787363,2621.117602,42642.661491,5833.515936
2011年,56822.12,59828.94,1579.11,3006.83,49798.19,7919.95
2012年,70080.33,73545.73,1845.25,3465.4,60991.22,9477.47
2013年,78551.67,82886.95,2103.93,4335.28,68250.07,10941.45
2014年,94950.98,101591.47,3513.56,6640.49,82487.2,14061.48
