,城镇居民家庭平均每百户健身器材拥有量,城镇居民家庭平均每百户固定电话拥有量,城镇居民家庭平均每百户家用汽车拥有量,城镇居民家庭平均每百户彩色电视机拥有量,城镇居民家庭平均每百户微波炉拥有量,城镇居民家庭平均每百户摄相机拥有量,城镇居民家庭平均每百户摩托车拥有量,城镇居民家庭平均每百户洗衣机拥有量,城镇居民家庭平均每百户淋浴热水器拥有量,城镇居民家庭平均每百户照相机拥有量,城镇居民家庭平均每百户电冰箱拥有量,城镇居民家庭平均每百户移动电话拥有量,城镇居民家庭平均每百户空调拥有量,城镇居民家庭平均每百户组合音响拥有量,城镇居民家庭平均每百户计算机拥有量
1978年,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,
1981年,,,,0.59,,,,6.31,,4.29,0.22,,,,
1982年,,,,1.1,,,,16.09,,5.57,0.67,,,,
1983年,,,,2.57,,,,29.08,,7.28,1.65,,,,
1984年,,,,5.38,,,,40.13,,8.92,3.22,,,,
1985年,,,,17.2,,,,48.29,,8.52,6.58,,,,
1986年,,,,27.41,,,,59.7,,11.91,12.71,,,,
1987年,,,,34.63,,,,66.77,,14.34,19.91,,,,
1988年,,,,43.93,,,,73.42,,16.03,28.07,,,,
1989年,,,,51.47,,,,76.21,,17.27,36.47,,,,
1990年,,,,59.04,,,1.94,78.41,,19.22,42.33,,0.34,,
1991年,,,,68.41,,,2.25,80.58,,21.32,48.7,,0.71,,
1992年,,,,74.87,,,2.8,83.41,13.0,24.32,52.6,,1.19,3.99,
1993年,,,,79.46,,,3.53,86.36,17.74,26.48,56.68,,2.33,5.69,
1994年,,,,86.21,,,5.26,87.29,25.24,29.83,62.1,,5.0,8.68,
1995年,,,,89.79,,,6.29,88.97,30.05,30.56,66.22,,8.09,10.52,
1996年,,,,93.5,,,7.94,90.06,34.16,32.13,69.67,,11.61,12.2,
1997年,2.28,,0.19,100.48,5.4,0.82,11.6,89.12,38.94,33.64,72.98,1.7,16.29,15.32,2.6
1998年,3.03,,0.25,105.43,8.49,0.9,13.22,90.57,43.3,36.26,76.08,3.26,20.01,17.51,3.78
1999年,3.83,,0.34,111.57,12.15,1.06,15.12,91.44,45.49,38.11,77.74,7.14,24.48,19.66,5.91
2000年,3.5,,0.5,116.6,17.6,1.3,18.8,90.5,49.1,38.4,80.1,19.5,30.8,22.2,9.7
2001年,3.98,,0.6,120.5,22.27,1.63,20.4,92.22,52.0,39.79,81.87,33.97,35.79,23.84,13.31
2002年,3.74,93.65,0.88,126.38,30.91,1.92,22.19,92.9,62.42,44.08,87.38,62.89,51.1,25.16,20.63
2003年,4.07,95.41,1.36,130.5,36.96,2.45,24.0,94.41,66.61,45.36,88.73,90.07,61.79,26.89,27.8
2004年,4.22,96.44,2.18,133.4,41.7,3.17,24.84,95.9,69.4,47.04,90.15,111.35,69.81,28.29,33.1
2005年,4.68,94.4,3.37,134.8,47.61,4.32,25.0,95.51,72.65,46.94,90.72,137.0,80.67,28.79,41.52
2006年,5.0,93.32,4.32,137.43,50.61,5.11,25.3,96.77,75.13,47.99,91.75,152.88,87.79,29.05,47.2
2007年,4.39,90.52,6.06,137.79,53.39,6.17,24.81,96.77,79.52,45.06,95.03,165.18,95.08,30.2,53.77
2008年,3.95,82.01,8.83,132.89,54.57,7.12,21.39,94.65,80.65,39.11,93.63,172.02,100.28,27.43,59.26
2009年,4.13,81.86,10.89,135.65,57.18,7.77,22.4,96.01,83.39,41.68,95.35,181.04,106.84,28.21,65.74
2010年,4.24,80.94,13.07,137.43,59.0,8.2,22.51,96.92,84.82,43.7,96.61,188.86,112.07,28.08,71.16
2011年,4.09,69.58,18.58,135.15,60.65,9.42,20.13,97.05,89.14,44.48,97.23,205.25,122.0,23.97,81.88
2012年,4.27,68.41,21.54,136.07,62.24,10.0,20.27,98.02,91.02,46.42,98.48,212.64,126.81,23.63,87.03
2013年,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,
