,批发和零售业出口额,批发和零售业商品购进额,批发和零售业商品销售额,批发和零售业年末从业人数,批发和零售业期末商品库存额,批发和零售业法人企业单位数,批发和零售业进口额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,32433.0,35161.0,37000908.0,6100.9,511757.0,0.0
1995年,0.0,36983.6,40545.3,41515693.0,6705.5,548487.0,0.0
1996年,0.0,38549.7,42546.9,44991244.0,7227.3,592487.0,0.0
1997年,0.0,39788.3,55168.7,0.0,7544.8,0.0,0.0
1998年,0.0,24297.4,27146.8,0.0,3789.7,0.0,0.0
1999年,0.0,24580.8,27448.3,4922171.0,3629.7,27115.0,0.0
2000年,0.0,29784.06,32265.47,4485335.0,3569.92,25567.0,0.0
2001年,0.0,32489.0472,35153.3,4045955.0,3618.03,25543.0,0.0
2002年,0.0,36885.94,40090.3,4191096.0,3577.9,26605.0,0.0
2003年,0.0,45383.9,48613.2041,4067764.0,3898.2,27340.0,0.0
2004年,0.0,0.0,86928.6,5076750.0,0.0,52448.0,0.0
2005年,0.0,87530.9,93151.3,5194658.0,7061.0,47698.0,0.0
2006年,0.0,103139.0,110054.8,5443149.0,7629.6,51788.0,0.0
2007年,11154.4,128912.5,132740.8,6049000.0,9193.2,55737.0,8871.7
2008年,13837.5,184039.3,208229.8,7374000.0,15368.1,100935.0,14473.1
2009年,11174.1,179202.9,201166.2,7490000.0,16024.0,95468.0,13308.0
2010年,14424.8,248040.9,276635.7,8522000.0,19816.8,111770.0,19604.7
2011年,17795.0,328160.3,360525.9,9011000.0,24979.3,125223.0,27230.6
2012年,20004.8,378314.8,410532.7,9856000.0,29000.6,138865.0,31524.7
2013年,22452.6,451265.1,496603.8,11396000.0,32422.0,171973.0,37358.7
2014年,23013.9,493664.0,541319.8,11820000.0,38123.8,181612.0,38571.4
