,专业零售市场成交额,中药材零售市场成交额,五金材料零售市场成交额,亿元以上商品交易零售市场成交额,体育用品零售市场成交额,其他专业零售市场成交额,其他农产品零售市场成交额,其他医药、医疗用品及器材零售市场成交额,其他日用品及文化用品零售市场成交额,其他旧货零售市场成交额,其他生产资料零售市场成交额,其他电器、通讯器材、电子设备零售市场成交额,其他纺织服装鞋帽零售市场成交额,其他综合零售市场成交额,其他花鸟鱼虫零售市场成交额,其他装修零售市场成交额,其他食品饮料及烟酒零售市场成交额,农业生产用具零售市场成交额,农产品综合零售市场成交额,农产品零售市场成交额,农用生产资料零售市场成交额,化工材料及制品零售市场成交额,医药、医疗用品及器材零售市场成交额,厨具、盥洗设备零售市场成交额,古玩、古董、字画零售市场成交额,图书、报刊杂志零售市场成交额,家具、五金及装饰材料零售市场成交额,家具零售市场成交额,家电零售市场成交额,小商品零售市场成交额,工业消费品综合零售市场成交额,布料及纺织品零售市场成交额,干鲜果品零售市场成交额,建材零售市场成交额,摩托车零售市场成交额,文具零售市场成交额,日用品及文化用品零售市场成交额,旧货零售市场成交额,服装零售市场成交额,木材零售市场成交额,机动车零配件零售市场成交额,机械设备零售市场成交额,棉麻土畜、烟叶零售市场成交额,水产品零售市场成交额,汽车、摩托车及零配件零售市场成交额,汽车零售市场成交额,灯具零售市场成交额,烟酒零售市场成交额,煤炭零售市场成交额,照相、摄像器材零售市场成交额,玩具零售市场成交额,生产资料综合零售市场成交额,生产资料零售市场成交额,电器、通讯器材、电子设备零售市场成交额,箱包零售市场成交额,粮油零售市场成交额,纺织、服装、鞋帽零售市场成交额,综合零售市场成交额,肉禽蛋零售市场成交额,花、鸟、鱼、虫零售市场成交额,花卉零售市场成交额,茶叶零售市场成交额,蔬菜零售市场成交额,装饰材料零售市场成交额,观赏鱼零售市场成交额,计算机及辅助设备零售市场成交额,通讯器材零售市场成交额,邮票、硬币零售市场成交额,金属材料零售市场成交额,鞋帽零售市场成交额,音像制品及电子出版物零售市场成交额,食品、饮料及烟酒零售市场成交额,食品饮料零售市场成交额,鸟零售市场成交额,黄金、珠宝、玉器等首饰零售市场成交额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
