,专业市场数量,中药材市场数量,五金材料市场数量,亿元以上商品交易市场数量,体育用品市场数量,其他专业市场数量,其他农产品市场数量,其他医药、医疗用品及器材市场数量,其他日用品及文化用品市场数量,其他旧货市场数量,其他生产资料市场数量,其他电器、通讯器材、电子设备市场数量,其他纺织服装鞋帽市场数量,其他综合市场数量,其他花鸟鱼虫市场数量,其他装修市场数量,其他食品饮料及烟酒市场数量,农业生产用具市场数量,农产品市场数量,农产品综合市场数量,农用生产资料市场数量,化工材料及制品市场数量,医药、医疗用品及器材市场数量,厨具、盥洗设备市场数量,古玩、古董、字画市场数量,图书、报刊杂志市场数量,家具、五金及装饰材料市场数量,家具市场数量,家电市场数量,小商品市场数量,工业消费品综合市场数量,布料及纺织品市场数量,干鲜果品市场数量,建材市场数量,摩托车市场数量,文具市场数量,日用品及文化用品市场数量,旧货市场数量,服装市场数量,木材市场数量,机动车零配件市场数量,机械设备市场数量,棉麻土畜、烟叶市场数量,水产品市场数量,汽车、摩托车及零配件市场数量,汽车市场数量,灯具市场数量,烟酒市场数量,煤炭市场数量,照相、摄像器材市场数量,玩具市场数量,生产资料市场数量,生产资料综合市场数量,电器、通讯器材、电子设备市场数量,箱包市场数量,粮油市场数量,纺织、服装、鞋帽市场数量,综合市场数量,肉禽蛋市场数量,花、鸟、鱼、虫市场数量,花卉市场数量,茶叶市场数量,蔬菜市场数量,装饰材料市场数量,观赏鱼市场数量,计算机及辅助设备市场数量,通讯器材市场数量,邮票、硬币市场数量,金属材料市场数量,鞋帽市场数量,音像制品及电子出版物市场数量,食品、饮料及烟酒市场数量,食品饮料市场数量,鸟市场数量,黄金、珠宝、玉器等首饰市场数量
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
