,内资建筑业企业利润总额,国有建筑业企业利润总额,外商投资建筑业企业利润总额,外商独资建筑业企业利润总额,建筑业企业利润总额,港澳台商投资建筑业企业利润总额,港澳台商独资建筑业企业利润总额,集体建筑业企业利润总额
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,64.6932,,,
1994年,,,,,72.5172,,,
1995年,,,,,74.1983,,,
1996年,,,,,109.3504,,,
1997年,,,,,109.917,,,
1998年,114.4138,6.5533,1.8746,0.4042,117.33,1.0402,0.1752,68.7249
1999年,156.3676,24.0822,1.4268,-0.0274,154.7982,-2.9962,0.2084,73.3398
2000年,189.7695,21.5894,1.3084,0.0341,192.0635,0.9856,0.2702,75.633
2001年,288.2973,32.7049,2.3375,0.114,294.3904,3.7556,0.3489,78.7341
2002年,365.2414,45.5858,2.6947,0.0728,370.3532,2.4171,-0.167,75.7413
2003年,514.0731,54.0339,2.9229,0.11,519.8716,2.8756,0.1617,78.5771
2004年,,,,,719.24681,,,
2005年,891.33737,141.42859,11.70068,2.32676,906.6623,3.6242,1.00141,80.70378
2006年,1164.09093,176.5849,22.72801,17.30288,1193.0744,6.25549,0.52322,82.8666
2007年,1524.39265,231.32623,27.86197,17.11779,1561.12248,8.86786,1.33193,98.40215
2008年,2166.47305,335.39612,22.10142,11.24596,2201.83887,13.2644,2.95926,140.57726
2009年,2677.76865,365.62468,22.52682,8.11106,2718.75516,18.45969,5.18349,136.29336
2010年,3356.6815,444.4172,26.7419,14.0422,3409.07409,25.6507,6.3565,146.0362
2011年,4112.30784,473.00236,29.88257,14.36624,4168.32736,26.13695,5.49685,171.41243
2012年,4717.82496,537.6582,26.56131,15.97678,4776.14155,31.75528,8.00977,188.90809
2013年,,,,,5575.0,,,
2014年,6344.67164,564.81079,39.46685,29.03192,6407.12991,22.99142,4.54797,184.42809
