,中国同加拿大进口总额,中国同北美洲其他国家(地区)进口总额,中国同北美洲进口总额,中国同格陵兰进口总额,中国同百慕大群岛进口总额,中国同美国进口总额
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,223721.0,,1912052.0,,,1688317.0
1999年,233403.0,,2181469.0,,,1947828.0
2000年,375108.0,,2611959.0,,,2236315.0
2001年,402847.0,9.0,3024125.0,1046.0,,2620223.0
2002年,362688.0,2.0,3087693.0,1239.0,,2723764.0
2003年,437449.0,0.0,3826276.0,2217.1,0.0,3386609.0
2004年,735299.0,2.7,5203014.2,2057.8,0.0,4465654.7
2005年,751116.0,0.0,5616226.0,2934.0,0.0,4862177.0
2006年,766211.3964,1909.0826,6692229.1528,3003.9729,,5921104.7009
2007年,1097913.3625,,8040775.5928,3799.4745,1.7703,6939060.9855
2008年,1267335.0929,8.74,9406982.3632,3645.5525,,8135992.5954
2009年,1205326.0,,8955790.0,4426.0,,7746038.0
2010年,1492374.6,,11707702.7,5454.8,,10209873.3
2011年,2216994.7055,1.7162,14434693.8136,4806.4533,,12212890.6386
2012年,2321048.5,,15616566.7,5744.8,,13289745.5
2013年,2523697.1,0.9,17765140.9,7213.5,,15234229.5
2014年,2518201.0414,5.6386,18430759.8156,6452.2247,1.0524,15906099.8585
