,中国科协系统各级科协从业人员数,中国科协系统学会个人会员数,中国科协系统学会从业人员数,中国科协系统学会社会聘用人员数,乡镇科普协会个人会员数,企业科协个人会员数,全国学会乡镇科普协会个人会员数,全国学会企业科协个人会员数,全国学会农村专业技术协会个人会员数,全国学会各级科协从业人员数,全国学会大专院校科协个人会员数,全国学会学会个人会员数,全国学会学会从业人员数,全国学会学会社会聘用人员数,全国学会街道科普协会个人会员数,农村专业技术协会个人会员数,大专院校科协个人会员数,学会(小计)乡镇科普协会个人会员数,学会(小计)企业科协个人会员数,学会(小计)农村专业技术协会个人会员数,学会(小计)各级科协从业人员数,学会(小计)大专院校科协个人会员数,学会(小计)学会个人会员数,学会(小计)学会从业人员数,学会(小计)学会社会聘用人员数,学会(小计)街道科普协会个人会员数,省级学会乡镇科普协会个人会员数,省级学会企业科协个人会员数,省级学会农村专业技术协会个人会员数,省级学会各级科协从业人员数,省级学会大专院校科协个人会员数,省级学会学会个人会员数,省级学会学会从业人员数,省级学会学会社会聘用人员数,省级学会街道科普协会个人会员数,科协(小计)乡镇科普协会个人会员数,科协(小计)企业科协个人会员数,科协(小计)农村专业技术协会个人会员数,科协(小计)各级科协从业人员数,科协(小计)大专院校科协个人会员数,科协(小计)学会个人会员数,科协(小计)学会从业人员数,科协(小计)学会社会聘用人员数,科协(小计)街道科普协会个人会员数,街道科普协会个人会员数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
