,中国科协系统举办培训班,中国科协系统参与“讲、比”活动的科技人员数,中国科协系统反映科技工作者建议数,中国科协系统培训结业人数,中国科协系统完成技术咨询合同数,中国科协系统开展“讲、比”活动企业数,中国科协系统表彰奖励科技工作者数,全国学会举办培训班,全国学会参与“讲、比”活动的科技人员数,全国学会反映科技工作者建议数,全国学会培训结业人数,全国学会完成技术咨询合同数,全国学会开展“讲、比”活动企业数,全国学会表彰奖励科技工作者数,学会(小计)举办培训班,学会(小计)参与“讲、比”活动的科技人员数,学会(小计)反映科技工作者建议数,学会(小计)培训结业人数,学会(小计)完成技术咨询合同数,学会(小计)开展“讲、比”活动企业数,学会(小计)表彰奖励科技工作者数,省级学会举办培训班,省级学会参与“讲、比”活动的科技人员数,省级学会反映科技工作者建议数,省级学会培训结业人数,省级学会完成技术咨询合同数,省级学会开展“讲、比”活动企业数,省级学会表彰奖励科技工作者数,科协(小计)举办培训班,科协(小计)参与“讲、比”活动的科技人员数,科协(小计)反映科技工作者建议数,科协(小计)培训结业人数,科协(小计)完成技术咨询合同数,科协(小计)开展“讲、比”活动企业数,科协(小计)表彰奖励科技工作者数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,75774.0,162.0,31519.0,1054.0,34467.0,15934.0,40349.0,1939.0,,668.0,61.0,311.0,,12480.0,14247.0,,5924.0,198.0,5524.0,,34479.0,12308.0,,5256.0,136.0,5213.0,,21999.0,61527.0,162.0,25595.0,856.0,28943.0,15934.0,5870.0
2009年,57690.0,146.0,33655.0,732.0,29828.0,18099.0,90744.0,1829.0,,697.0,21.3,512.0,,18129.0,11672.0,,7180.0,135.0,4889.0,,40109.0,9843.0,,6483.0,114.0,4377.0,,21980.0,46018.0,146.0,26475.0,597.0,24939.0,18099.0,50635.0
2010年,57234.0,195.0,38419.0,702.0,26530.0,23772.0,90273.0,1913.0,,1290.0,37.0,236.0,,12001.0,14900.0,,11710.0,188.0,5647.0,,32642.0,12987.0,,10420.0,151.0,5411.0,,20641.0,42334.0,195.0,26709.0,514.0,20883.0,23772.0,57631.0
2011年,60422.0,204.0,44253.0,680.0,23069.0,26965.0,117409.0,1920.0,,479.0,34.1,255.0,,20320.0,17930.0,,14152.0,196.0,6635.0,,45838.0,16010.0,,13673.0,162.0,6380.0,,25518.0,42492.0,204.0,30101.0,484.0,16434.0,26965.0,71571.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
