,炼焦、燃气及石油加工业总投入,炼焦、燃气及石油加工业部门生产1单位总产出对中间投入产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对其他制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对其他服务业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对劳动者报酬产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对化学工业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对固定资产折旧产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对增加值产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对建筑业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对机械设备制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对生产税净额产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对营业盈余产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对采矿业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对金属产品制造业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对金融业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,炼焦、燃气及石油加工业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,
2007年,1.0,0.820845460524,0.00197380755359,0.00478423491672,2.8173247614e-05,0.0535835672114,0.018018653134,0.035704806211,0.179154539476,0.000560532140926,0.00541694977994,0.0165496920825,0.0235683070055,0.0596827731616,0.0483673989361,0.0232045384107,0.0010607194748,0.0414987671179,0.0284034425693,0.614779626894,0.00513881356822,0.0079836184287,0.00398006225003,0.00571151590598
2008年,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,
2010年,1.0,0.801574996253,0.00148104728171,0.00349282390795,2.2159881754e-05,0.0323078236503,0.0186430619438,0.0239429854725,0.198425003747,0.000479967822053,0.00475038593801,0.0134377610394,0.0177117799565,0.0604170508076,0.1066638391,0.0181870504757,0.000464203371903,0.0355103555238,0.0220667598726,0.622735272309,0.00383945007312,0.0058356971825,0.00337459859973,0.00463592579002
2011年,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1.0,0.811801499586,0.0014172891807,0.00401879361889,4.4507994322e-05,0.0388915080337,0.0233878177642,0.0240464752743,0.188198500414,0.001322447296,0.00577832692344,0.0125020327601,0.0127337355423,0.0752132351781,0.0962559302711,0.0166946922087,0.000765335168193,0.029004586835,0.018972440864,0.611395473415,0.000879705155041,0.0143401984179,0.00672499494869,0.00561047315
2013年,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,
