,农学普通本科招生数,医学普通本科招生数,历史学普通本科招生数,哲学普通本科招生数,外语普通本科招生数,工学普通本科招生数,师范普通本科招生数,教育学普通本科招生数,文学普通本科招生数,普通本科招生数,法学普通本科招生数,理学普通本科招生数,管理学普通本科招生数,经济学普通本科招生数,艺术普通本科招生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1979年,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1980年,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
1981年,0.0,0.0,0.0,0.0,0.0,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
1982年,0.0,0.0,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
1983年,0.0,0.0,0.0,0.0,0.0,0.0,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1984年,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
1985年,0.0,0.0,0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
1986年,0.0,0.0,0.0,0.0,0.0,0.0,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
1987年,0.0,0.0,0.0,0.0,0.0,0.0,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
1988年,0.0,0.0,0.0,0.0,0.0,0.0,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
1989年,0.0,0.0,0.0,0.0,0.0,0.0,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
1990年,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
1991年,0.0,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
1992年,0.0,0.0,0.0,0.0,0.0,0.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
1993年,0.0,0.0,0.0,0.0,0.0,0.0,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31
1994年,3.29,6.61,1.55,0.2,0.0,34.41,0.0,4.05,12.51,0.0,3.05,9.92,0.0,14.39,0.0
1995年,3.26,6.57,1.57,0.17,0.0,35.25,0.0,4.13,13.16,0.0,3.19,10.03,0.0,15.27,0.0
1996年,3.27,6.86,1.59,0.16,0.0,36.67,0.0,4.52,13.82,0.0,3.67,10.62,0.0,15.39,0.0
1997年,3.6,7.04,1.63,0.16,0.0,38.09,0.0,4.67,14.31,0.0,4.15,11.04,0.0,15.34,0.0
1998年,2.7056,5.2757,0.9154,0.1086,0.0,28.0301,0.0,2.4276,7.2676,65.3135,2.8725,6.7623,0.0,8.9481,0.0
1999年,3.5834,7.5113,1.1043,0.1386,0.0,38.6458,0.0,3.5163,11.7599,93.669,4.2765,9.987,0.0,13.1459,0.0
2000年,4.2099,8.9468,1.2803,0.153,0.0,46.5508,0.0,4.9143,15.1461,116.0191,5.1467,13.1539,0.0,16.5173,0.0
2001年,3.7133,9.7512,1.0495,0.16,0.0,49.8984,0.0,4.8944,19.6526,138.1835,6.8631,16.5609,18.0833,7.5568,0.0
2002年,3.7513,10.5815,1.0474,0.17,0.0,54.3447,0.0,5.9317,24.3324,158.7939,7.8519,19.1997,22.1496,9.4337,0.0
2003年,4.1637,11.927,1.1496,0.1446,0.0,59.5398,0.0,6.9682,29.7002,182.5262,9.192,22.0157,26.2709,11.4545,0.0
2004年,4.4379,13.1218,1.2164,0.1695,0.0,66.9745,0.0,7.9374,36.1894,209.9151,10.2663,24.7995,31.6111,13.1913,0.0
2005年,4.5674,14.7726,1.3379,0.1797,0.0,73.9668,0.0,8.608,43.5484,236.3647,10.8779,26.8061,37.1487,14.5512,0.0
2006年,4.7312,15.5242,1.3698,0.2158,0.0,79.8106,0.0,9.0533,47.0022,253.0854,11.0019,27.9708,41.1464,15.2592,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0971,0.0,0.0,0.0,0.0,0.0
2008年,5.3332,17.5221,1.573,0.2442,18.9393,94.3738,29.4171,10.3629,56.9106,297.0601,11.4942,31.2069,49.6948,18.3444,23.9582
2009年,5.894,20.2892,1.7007,0.2563,20.3437,102.3678,33.5868,11.6457,62.7375,326.1081,12.6335,33.2874,56.1295,19.1665,26.8475
2010年,6.2322,21.9549,1.8057,0.2516,20.7716,110.8832,35.8821,12.4405,66.7431,351.2563,13.363,34.4921,62.2779,20.8121,29.4411
2011年,6.0835,21.729,1.8281,0.2647,19.9946,113.427,34.7198,13.3587,67.2496,356.6411,12.9428,34.1487,64.2724,21.3366,31.2523
2012年,6.3974,22.8294,1.8926,0.2335,20.5236,119.5234,36.7421,14.2812,70.7543,374.0574,13.3717,34.4671,68.6779,21.6289,33.781
2013年,6.8658,23.8919,1.837,0.293,19.9856,127.4915,35.1062,13.9887,36.6416,381.4331,13.805,27.7254,69.7484,22.3473,36.7975
2014年,7.0675,24.0758,1.8201,0.2659,18.7566,129.9865,35.0128,14.0969,35.4778,383.4152,13.7558,27.391,69.9494,22.2989,37.2296
