,农学普通本科在校学生数,医学普通本科在校学生数,历史学普通本科在校学生数,哲学普通本科在校学生数,外语普通本科在校学生数,工学普通本科在校学生数,师范普通本科在校学生数,教育学普通本科在校学生数,文学普通本科在校学生数,普通本科在校学生数,法学普通本科在校学生数,理学普通本科在校学生数,管理学普通本科在校学生数,经济学普通本科在校学生数,艺术普通本科在校学生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
1979年,0.0,0.0,0.0,0.0,0.0,0.0,31.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
1980年,0.0,0.0,0.0,0.0,0.0,0.0,33.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
1981年,0.0,0.0,0.0,0.0,0.0,0.0,32.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
1982年,0.0,0.0,0.0,0.0,0.0,0.0,28.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
1983年,0.0,0.0,0.0,0.0,0.0,0.0,31.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
1984年,0.0,0.0,0.0,0.0,0.0,0.0,36.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
1985年,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26
1986年,0.0,0.0,0.0,0.0,0.0,0.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32
1987年,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
1988年,0.0,0.0,0.0,0.0,0.0,0.0,53.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67
1989年,0.0,0.0,0.0,0.0,0.0,0.0,53.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92
1990年,0.0,0.0,0.0,0.0,0.0,0.0,51.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89
1991年,0.0,0.0,0.0,0.0,0.0,0.0,51.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78
1992年,0.0,0.0,0.0,0.0,0.0,0.0,54.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,59.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83
1994年,11.12,24.75,5.06,0.74,0.0,111.76,0.0,11.79,35.03,0.0,8.5,31.47,0.0,39.65,0.0
1995年,10.98,25.6,4.84,0.58,0.0,116.69,0.0,11.74,36.56,0.0,9.26,30.99,0.0,43.41,0.0
1996年,10.64,26.27,4.75,0.51,0.0,121.26,0.0,12.18,38.4,0.0,10.47,31.54,0.0,46.1,0.0
1997年,11.19,27.11,4.88,0.49,0.0,126.27,0.0,12.88,41.2,0.0,11.84,33.22,0.0,48.34,0.0
1998年,8.7356,21.0734,3.0531,0.3899,0.0,96.6763,0.0,7.7421,23.029,223.4647,8.7977,22.1078,0.0,31.8598,0.0
1999年,10.5486,25.1366,3.5055,0.4272,0.0,114.4396,0.0,9.7316,30.7059,272.4421,11.5687,27.8259,0.0,38.5525,0.0
2000年,12.6949,30.4984,4.0288,0.4917,0.0,138.2357,0.0,13.0533,41.3974,340.0181,14.7963,36.3637,0.0,48.4579,0.0
2001年,12.6579,36.1084,3.6504,0.4975,0.0,157.3665,0.0,14.1998,55.4018,424.3744,21.3278,48.029,52.9353,22.2,0.0
2002年,14.0868,42.4401,4.0333,0.5624,0.0,188.6996,0.0,18.3528,74.609,527.0845,26.4039,60.048,69.4138,28.4348,0.0
2003年,15.1756,49.6136,4.2543,0.5558,0.0,215.6584,0.0,22.3837,95.0274,629.2089,31.3131,72.3579,86.8008,36.0683,0.0
2004年,16.4514,55.8369,4.5299,0.5886,0.0,242.4903,0.0,26.5726,119.1886,737.8436,36.6541,84.5784,106.5736,44.3792,0.0
2005年,17.4783,62.7249,4.939,0.6323,0.0,269.9776,0.0,30.7402,145.5454,848.8188,41.4309,95.9757,127.4756,51.8989,0.0
2006年,18.8067,68.8777,5.2514,0.6846,0.0,295.8802,0.0,33.942,167.7537,943.3395,44.109,104.1387,146.4503,57.4452,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.303,0.0,0.0,0.0,0.0,0.0
2008年,20.4809,77.8706,5.7444,0.8316,70.63,347.574,118.4012,38.0564,205.8291,1104.2207,45.7098,115.2206,180.0764,66.8269,82.5133
2009年,21.3986,83.005,6.0634,0.893,74.9122,371.8959,122.787,40.7479,222.0049,1179.8511,46.5406,120.1046,196.0979,71.0993,91.4529
2010年,22.603,88.3847,6.4907,0.9001,78.3068,399.5779,129.7515,43.6683,238.8028,1265.6132,48.675,125.128,215.3879,75.9948,101.4672
2011年,23.5342,94.2912,6.7854,0.9187,79.9245,427.5808,135.0393,47.4661,253.4078,1349.6577,50.1979,128.7275,236.1637,80.5844,111.5002
2012年,24.4261,100.641,7.0769,0.884,81.0846,452.2917,144.3936,51.759,266.89,1427.0888,51.6789,131.4644,256.1564,83.8204,121.5535
2013年,25.9837,106.4363,7.0836,0.9205,81.3777,495.3334,143.6507,51.7344,147.9974,1494.4353,53.5423,107.6027,275.0404,88.289,134.4716
2014年,26.9252,111.1699,7.2078,0.9249,80.1342,511.9977,149.1135,54.4314,147.6075,1541.0653,54.3271,107.3015,285.8602,90.8196,142.4925
