,15-19岁平均育龄妇女人数(人口抽样调查),15岁平均育龄妇女人数(人口抽样调查),16岁平均育龄妇女人数(人口抽样调查),17岁平均育龄妇女人数(人口抽样调查),18岁平均育龄妇女人数(人口抽样调查),19岁平均育龄妇女人数(人口抽样调查),20-24岁平均育龄妇女人数(人口抽样调查),20岁平均育龄妇女人数(人口抽样调查),21岁平均育龄妇女人数(人口抽样调查),22岁平均育龄妇女人数(人口抽样调查),23岁平均育龄妇女人数(人口抽样调查),24岁平均育龄妇女人数(人口抽样调查),25-29岁平均育龄妇女人数(人口抽样调查),25岁平均育龄妇女人数(人口抽样调查),26岁平均育龄妇女人数(人口抽样调查),27岁平均育龄妇女人数(人口抽样调查),28岁平均育龄妇女人数(人口抽样调查),29岁平均育龄妇女人数(人口抽样调查),30-34岁平均育龄妇女人数(人口抽样调查),30岁平均育龄妇女人数(人口抽样调查),31岁平均育龄妇女人数(人口抽样调查),32岁平均育龄妇女人数(人口抽样调查),33岁平均育龄妇女人数(人口抽样调查),34岁平均育龄妇女人数(人口抽样调查),35-39岁平均育龄妇女人数(人口抽样调查),35岁平均育龄妇女人数(人口抽样调查),36岁平均育龄妇女人数(人口抽样调查),37岁平均育龄妇女人数(人口抽样调查),38岁平均育龄妇女人数(人口抽样调查),39岁平均育龄妇女人数(人口抽样调查),40-44岁平均育龄妇女人数(人口抽样调查),40岁平均育龄妇女人数(人口抽样调查),41岁平均育龄妇女人数(人口抽样调查),42岁平均育龄妇女人数(人口抽样调查),43岁平均育龄妇女人数(人口抽样调查),44岁平均育龄妇女人数(人口抽样调查),45-49岁平均育龄妇女人数(人口抽样调查),45岁平均育龄妇女人数(人口抽样调查),46岁平均育龄妇女人数(人口抽样调查),47岁平均育龄妇女人数(人口抽样调查),48岁平均育龄妇女人数(人口抽样调查),49岁平均育龄妇女人数(人口抽样调查),平均育龄妇女人数(人口抽样调查)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,47631,11978,11210,9154,7833,7456,41296,7913,8134,7924,8423,8902,48555,8496,8846,9763,10330,11119,62838,11576,12080,13015,12986,13180,61568,12429,11585,12164,12119,13271,41927,12422,8216,6603,6945,7742,46862,9252,9418,9294,9459,9439,350677
2004年,50220,11810,11566,10741,8601,7502,41120,7454,8237,8612,8267,8549,46020,8829,8556,8863,9528,10243,59723,10834,11262,11917,12755,12955,61002,13043,12220,11553,12088,12099,47244,13129,12220,8210,6646,7039,45903,7764,9312,9632,9473,9722,351232
2005年,664051,159681,142241,138374,119925,103829,540714,99451,101725,113155,119600,106783,581947,115252,113871,110544,115952,126327,758911,133869,144698,153716,157343,169285,834137,169913,183370,158828,153068,168958,707521,164217,177276,177644,100442,87943,589306,96175,105700,131737,128958,126735,4676587
2006年,49542,9304,11470,10232,9436,9100,38889,8191,7041,7454,7535,8669,38242,7706,7390,7910,7914,7321,47580,8614,8606,9657,10290,10413,57920,11292,12428,11533,12615,10051,58505,11825,11605,11473,13359,10244,38247,5899,7102,6775,8625,9847,328924
2007年,46481,8513,8761,10578,9883,8745,40081,9285,8471,7365,7507,7454,39510,8546,7743,7485,7908,7828,44130,7435,8316,8670,9499,10211,58270,10597,11120,12464,11571,12518,58198,10204,11657,11798,11442,13097,38140,10185,5743,7163,6421,8629,324810
2008年,43329,7966,7992,8239,10038,9093,40883,8548,9128,8317,7433,7457,38920,7563,8576,7454,7618,7709,41400,8024,7193,8412,8458,9314,55269,10228,10559,10648,12368,11466,57072,12376,10189,11653,11580,11274,42640,13233,9977,5653,7178,6599,319513
2009年,39345,7230,7531,7490,7648,9446,43636,9416,8623,9640,8386,7570,37803,7424,7383,8296,7358,7342,39901,7670,7744,7378,8361,8748,53461,9511,10232,10689,10947,12081,56494,11403,12137,10171,11473,11309,46719,11223,13033,9693,5618,7153,317359
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,38322,7042,7564,7323,7973,8420,53323,9471,11432,10862,10347,11212,44282,9701,8506,8332,8247,9497,40240,8144,7915,8201,8270,7711,47325,8668,8723,9558,10166,10209,52585,10190,11361,10550,11346,9139,49419,9859,9983,9906,11300,8370,325497
2012年,35897,6831,7430,7017,6974,7646,51300,8555,10377,11380,10471,10518,43655,9833,8776,8297,8106,8643,40238,8897,7694,8034,7979,7635,44903,7912,8454,8941,9508,10088,51982,10118,10515,10685,11161,9504,49070,9041,9920,9498,10442,10169,317046
2013年,33282,6088,6784,7181,6243,6986,47741,8001,8385,9747,11302,10306,45289,10325,10045,8903,8199,7815,40800,8330,8620,7705,8189,7956,42037,7437,7763,8352,8910,9576,51856,9920,9832,10449,10581,11075,47862,9274,8870,9973,9516,10229,308867
2014年,31623,5732,6091,6055,6507,7238,45203,7755,7994,8061,10069,11324,47863,10158,10597,9998,8998,8111,40671,7885,8386,8830,7538,8032,40492,7968,7394,7900,8487,8744,50458,9527,9968,9859,10506,10598,48423,11007,9212,9009,9783,9412,304733
