,15-19岁育龄妇女生育孩子的人数(人口抽样调查),15岁育龄妇女生育孩子的人数(人口抽样调查),16岁育龄妇女生育孩子的人数(人口抽样调查),17岁育龄妇女生育孩子的人数(人口抽样调查),18岁育龄妇女生育孩子的人数(人口抽样调查),19岁育龄妇女生育孩子的人数(人口抽样调查),20-24岁育龄妇女生育孩子的人数(人口抽样调查),20岁育龄妇女生育孩子的人数(人口抽样调查),21岁育龄妇女生育孩子的人数(人口抽样调查),22岁育龄妇女生育孩子的人数(人口抽样调查),23岁育龄妇女生育孩子的人数(人口抽样调查),24岁育龄妇女生育孩子的人数(人口抽样调查),25-29岁育龄妇女生育孩子的人数(人口抽样调查),25岁育龄妇女生育孩子的人数(人口抽样调查),26岁育龄妇女生育孩子的人数(人口抽样调查),27岁育龄妇女生育孩子的人数(人口抽样调查),28岁育龄妇女生育孩子的人数(人口抽样调查),29岁育龄妇女生育孩子的人数(人口抽样调查),30-34岁育龄妇女生育孩子的人数(人口抽样调查),30岁育龄妇女生育孩子的人数(人口抽样调查),31岁育龄妇女生育孩子的人数(人口抽样调查),32岁育龄妇女生育孩子的人数(人口抽样调查),33岁育龄妇女生育孩子的人数(人口抽样调查),34岁育龄妇女生育孩子的人数(人口抽样调查),35-39岁育龄妇女生育孩子的人数(人口抽样调查),35岁育龄妇女生育孩子的人数(人口抽样调查),36岁育龄妇女生育孩子的人数(人口抽样调查),37岁育龄妇女生育孩子的人数(人口抽样调查),38岁育龄妇女生育孩子的人数(人口抽样调查),39岁育龄妇女生育孩子的人数(人口抽样调查),40-44岁育龄妇女生育孩子的人数(人口抽样调查),40岁育龄妇女生育孩子的人数(人口抽样调查),41岁育龄妇女生育孩子的人数(人口抽样调查),42岁育龄妇女生育孩子的人数(人口抽样调查),43岁育龄妇女生育孩子的人数(人口抽样调查),44岁育龄妇女生育孩子的人数(人口抽样调查),45-49岁育龄妇女生育孩子的人数(人口抽样调查),45岁育龄妇女生育孩子的人数(人口抽样调查),46岁育龄妇女生育孩子的人数(人口抽样调查),47岁育龄妇女生育孩子的人数(人口抽样调查),48岁育龄妇女生育孩子的人数(人口抽样调查),49岁育龄妇女生育孩子的人数(人口抽样调查),出生人数(人口抽样调查)
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,250,6,10,22,57,155,5066,446,830,1097,1292,1401,4974,1234,1082,1018,872,768,2405,678,580,485,379,283,533,206,123,90,70,43,74,33,21,9,6,6,26,5,6,6,4,4,13328
2004年,279,6,13,32,67,161,4969,415,863,1149,1248,1293,4952,1251,1115,957,857,771,2521,674,601,512,405,329,619,227,156,105,73,57,91,42,25,12,6,7,19,3,2,4,5,5,13450
2005年,4209,17,94,415,1072,2611,61889,6735,11016,13947,15891,14300,53367,13794,11978,10037,9082,8477,30521,7660,7401,6196,5055,4210,9157,3102,2538,1605,1076,836,1447,553,378,284,122,110,451,84,92,80,100,96,161042
2006年,227,0,7,25,60,135,3948,368,640,860,947,1133,3813,947,856,787,682,541,2236,558,517,465,385,311,940,294,232,175,147,91,259,69,64,40,38,46,86,19,16,12,17,22,11509
2007年,178,0,0,12,61,105,3755,366,696,793,888,1012,4100,1023,865,840,751,622,2310,509,552,475,405,369,1189,310,278,262,174,166,390,98,89,74,69,61,198,48,31,47,26,47,12169
2008年,228,1,2,15,51,159,3867,350,767,874,894,983,3948,861,930,752,736,670,2229,580,432,460,405,353,1212,303,278,210,246,174,566,152,111,100,117,86,284,99,74,32,43,35,12405
2009年,242,1,10,20,53,158,3779,391,642,920,968,858,3651,855,762,801,634,600,2007,494,444,393,347,328,1060,280,225,228,168,159,428,120,116,62,71,58,270,68,65,49,40,47,11468
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,236,7,9,35,61,123,3547,276,642,760,886,982,3420,795,724,615,605,681,1644,422,392,299,290,241,594,145,129,134,117,68,179,53,57,25,26,18,62,14,9,13,16,10,9684
2012年,241,0,11,38,72,120,3735,266,514,887,1058,1009,4227,1008,968,784,776,691,2045,629,470,392,311,243,770,181,199,150,140,100,284,112,61,55,33,23,77,14,22,18,5,18,11379
2013年,261,2,14,44,86,115,3320,264,451,625,968,1013,4256,991,963,895,790,615,2074,512,534,384,371,273,785,220,179,141,126,120,242,77,51,40,45,28,84,27,17,17,9,14,11022
2014年,354,5,16,55,101,178,3606,361,521,609,1009,1106,4481,1074,1097,899,756,654,1994,535,456,413,308,281,690,237,140,136,99,79,200,58,51,48,26,18,52,13,14,11,9,5,11377
