,0-14岁人口数(人口抽样调查),15-64岁人口数(人口抽样调查),65岁及以上人口数(人口抽样调查),人口数(人口抽样调查),少年儿童抚养比(人口抽样调查),总抚养比(人口抽样调查),老年人口抚养比(人口抽样调查)
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,,,,,,,
1996年,,,,,,,
1997年,,,,,,,
1998年,,,,,,,
1999年,,,,,,,
2000年,,,,,,,
2001年,,,,,,,
2002年,267978.0,888206.0,102767.0,1258951.0,30.17,41.74,11.57
2003年,256344.0,896908.0,107246.0,1260498.0,28.58,40.54,11.96
2004年,241866.0,903897.0,107303.0,1253065.0,26.76,38.63,11.87
2005年,3321029.0,12123681.0,1541056.0,16985766.0,27.39,40.1,12.71
2006年,220280.0,862690.0,109696.0,1192666.0,25.53,38.25,12.72
2007年,212476.0,865052.0,111212.0,1188739.0,24.56,37.42,12.86
2008年,204088.0,862020.0,112413.0,1178521.0,23.68,36.72,13.04
2009年,196517.0,855269.0,113199.0,1164986.0,22.98,36.21,13.24
2010年,,,,,,,
2011年,188590.0,852078.0,104541.0,1145209.0,22.13,34.4,12.27
2012年,185135.0,833822.0,105704.0,1124661.0,22.2,34.88,12.68
2013年,183498.0,826674.0,108261.0,1118433.0,22.2,35.29,13.1
2014年,185409.0,825822.0,113171.0,1124402.0,22.45,36.16,13.7
