,事务所资质其他注册执业人员,事务所资质年末注册执业人数,事务所资质注册监理工程师,公路工程其他注册执业人员,公路工程年末注册执业人数,公路工程注册监理工程师,农林工程其他注册执业人员,农林工程年末注册执业人数,农林工程注册监理工程师,冶炼工程其他注册执业人员,冶炼工程年末注册执业人数,冶炼工程注册监理工程师,化工、石油工程其他注册执业人员,化工、石油工程年末注册执业人数,化工、石油工程注册监理工程师,市政公用工程其他注册执业人员,市政公用工程年末注册执业人数,市政公用工程注册监理工程师,建设工程监理企业其他注册执业人员,建设工程监理企业注册执业人数,建设工程监理企业注册监理工程师,房屋建筑工程其他注册执业人员,房屋建筑工程年末注册执业人数,房屋建筑工程注册监理工程师,机电安装工程其他注册执业人员,机电安装工程年末注册执业人数,机电安装工程注册监理工程师,水利水电工程其他注册执业人员,水利水电工程年末注册执业人数,水利水电工程注册监理工程师,港口与航道工程其他注册执业人员,港口与航道工程年末注册执业人数,港口与航道工程注册监理工程师,电力工程其他注册执业人员,电力工程年末注册执业人数,电力工程注册监理工程师,矿山工程其他注册执业人员,矿山工程年末注册执业人数,矿山工程注册监理工程师,综合资质其他注册执业人员,综合资质年末注册执业人数,综合资质注册监理工程师,航天航空工程其他注册执业人员,航天航空工程年末注册执业人数,航天航空工程注册监理工程师,通信工程其他注册执业人员,通信工程年末注册执业人数,通信工程注册监理工程师,铁路工程其他注册执业人员,铁路工程年末注册执业人数,铁路工程注册监理工程师
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
