,中央财政一般公共服务支出,中央财政交通运输支出,中央财政公共安全支出,中央财政其他支出,中央财政农林水事务支出,中央财政医疗卫生支出,中央财政国防支出,中央财政地震灾后恢复重建支出,中央财政城乡社区事务支出,中央财政外交支出,中央财政对外援助支出,中央财政支出,中央财政教育支出,中央财政文化体育与传媒支出,中央财政武装警察支出,中央财政环境保护支出,中央财政社会保障和就业支出,中央财政科学技术支出,中央财政车辆购置税支出
1978年,,,,,,,,,,,,532.12,,,,,,,
1979年,,,,,,,,,,,,655.08,,,,,,,
1980年,,,,,,,,,,,,666.81,,,,,,,
1981年,,,,,,,,,,,,625.65,,,,,,,
1982年,,,,,,,,,,,,651.81,,,,,,,
1983年,,,,,,,,,,,,759.6,,,,,,,
1984年,,,,,,,,,,,,893.33,,,,,,,
1985年,,,,,,,,,,,,795.25,,,,,,,
1986年,,,,,,,,,,,,836.36,,,,,,,
1987年,,,,,,,,,,,,845.63,,,,,,,
1988年,,,,,,,,,,,,845.04,,,,,,,
1989年,,,,,,,,,,,,888.77,,,,,,,
1990年,,,,,,,,,,,,1004.47,,,,,,,
1991年,,,,,,,,,,,,1090.81,,,,,,,
1992年,,,,,,,,,,,,1170.44,,,,,,,
1993年,,,,,,,,,,,,1312.06,,,,,,,
1994年,,,,,,,,,,,,1754.43,,,,,,,
1995年,,,,,,,,,,,,1995.39,,,,,,,
1996年,,,,,,,,,,,,2151.27,,,,,,,
1997年,,,,,,,,,,,,2532.5,,,,,,,
1998年,,,,,,,,,,,,3125.6,,,,,,,
1999年,,,,,,,,,,,,4152.33,,,,,,,
2000年,,,,,,,,,,,,5519.85,,,,,,,
2001年,,,,,,,,,,,,5768.02,,,,,,,
2002年,,,,,,,,,,,,6771.7,,,,,,,
2003年,,,,,,,,,,,,7420.1,,,,,,,
2004年,,,,,,,,,,,,7894.08,,,,,,,
2005年,,,,,,,,,,,,8775.97,,,,,,,
2006年,,,,,,,,,,,,9991.4,,,,,,,
2007年,2160.17,782.25,607.83,574.86,313.7,34.21,3482.32,,6.2,213.78,111.54,11442.06,395.26,127.21,462.16,34.59,342.63,924.6,487.68
2008年,2344.55,913.2,648.63,413.75,308.38,46.78,4098.95,62.47,14.33,239.15,125.59,13344.17,491.63,140.61,502.26,66.21,344.28,1077.35,659.19
2009年,1084.21,1069.22,845.79,601.83,318.7,63.5,4825.01,130.6,3.91,249.71,132.96,15255.79,567.62,154.75,679.11,37.91,454.37,1433.82,648.81
2010年,837.42,1489.58,875.2,98.32,387.89,73.56,5176.35,37.9,10.09,268.05,136.11,15989.73,720.96,150.13,699.3,69.48,450.3,1661.3,1209.91
2011年,903.01,331.11,1037.01,74.99,416.56,71.32,5829.62,,11.62,306.83,158.98,16514.11,999.05,188.72,789.57,74.19,502.48,1942.14,73.48
2012年,998.32,863.59,1183.47,38.31,502.49,74.29,6481.38,,18.19,332.39,,18764.63,1101.46,193.56,,63.65,585.67,2210.43,
2013年,1001.46,722.99,1297.03,338.7,526.91,76.7,7177.37,,19.06,354.37,,20471.76,1106.65,204.45,,100.26,640.82,2368.99,
2014年,1050.43,731.16,1477.76,129.99,539.67,90.25,8055.14,,17.18,360.09,,22570.07,1253.62,223.0,,344.74,699.91,2436.66,
