,中等职业学校岗位证书培训结业生数,中等职业学校结业生数,中等职业学校资格证书培训结业生数,中等职业教育岗位证书培训结业生数,中等职业教育结业生数,中等职业教育资格证书培训结业生数,各级各类非学历教育结业生数,普通预科生结业生数,研究生课程进修班结业生数,职业技术培训机构岗位证书培训结业生数,职业技术培训机构结业生数,职业技术培训机构资格证书培训结业生数,自考助学班结业生数,高等教育岗位证书培训结业生数,高等教育结业生数,高等教育资格证书培训结业生数,高等教育进修及培训结业生数
1978年,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,6176.9903,,,,,,
2005年,,,,,,,,,,,5934.188,,,,,,
2006年,,,,,,,,,,,5733.6156,,,,,,
2007年,,,,,,,,,,,6003.1763,,,,,,
2008年,,,,,,,,,4.5457,,5720.9955,,21.4769,,,,411.9157
2009年,169.3276,682.2378,198.2254,700.2076,6112.7503,601.471,6644.4523,,4.6803,530.88,5430.5125,403.2456,19.6768,118.488,531.702,109.4037,507.3449
2010年,172.8991,734.0783,208.854,679.2619,5986.3704,579.2588,6698.9254,,4.829,506.3628,5252.2921,370.4048,19.4889,106.9856,712.555,131.551,688.2371
2011年,201.8994,695.9144,264.6761,979.8624,5842.502,761.4303,6519.6816,,4.8873,777.963,5146.5876,496.7542,24.2067,178.5514,677.1796,201.7012,648.0856
2012年,208.8129,713.6842,268.349,1227.2059,5537.0447,863.0967,6315.5796,0.0,5.0284,1018.393,4823.3605,594.7477,18.4933,215.9604,778.5349,225.0573,755.0132
2013年,204.8427,624.7386,246.7512,1278.1963,5340.3354,869.3004,6274.1102,,4.8329,1073.3536,4715.5968,622.5492,19.4882,250.4684,933.7748,235.1305,909.4537
2014年,185.8154,604.9504,249.0008,1182.1244,5084.4797,828.3003,6004.7595,,3.4836,996.309,4479.5293,579.2995,14.9228,251.7423,920.2798,223.3496,901.8734
