,交通运输、仓储和邮政业研究与试验发展项目(课题)人员全时当量,交通运输、仓储和邮政业研究与试验发展项目(课题)数,交通运输、仓储和邮政业研究与试验发展项目(课题)经费支出,信息传输、计算机服务和软件业研究与试验发展项目(课题)人员全时当量,信息传输、计算机服务和软件业研究与试验发展项目(课题)数,信息传输、计算机服务和软件业研究与试验发展项目(课题)经费支出,农、林、牧、渔业研究与试验发展项目(课题)人员全时当量,农、林、牧、渔业研究与试验发展项目(课题)数,农、林、牧、渔业研究与试验发展项目(课题)经费支出,制造业研究与试验发展项目(课题)人员全时当量,制造业研究与试验发展项目(课题)数,制造业研究与试验发展项目(课题)经费支出,卫生、社会保障和社会福利业研究与试验发展项目(课题)人员全时当量,卫生、社会保障和社会福利业研究与试验发展项目(课题)数,卫生、社会保障和社会福利业研究与试验发展项目(课题)经费支出,建筑业研究与试验发展项目(课题)人员全时当量,建筑业研究与试验发展项目(课题)数,建筑业研究与试验发展项目(课题)经费支出,教育研究与试验发展项目(课题)人员全时当量,教育研究与试验发展项目(课题)数,教育研究与试验发展项目(课题)经费支出,文化、体育和娱乐业研究与试验发展项目(课题)人员全时当量,文化、体育和娱乐业研究与试验发展项目(课题)数,文化、体育和娱乐业研究与试验发展项目(课题)经费支出,水利、环境和公共设施管理业研究与试验发展项目(课题)人员全时当量,水利、环境和公共设施管理业研究与试验发展项目(课题)数,水利、环境和公共设施管理业研究与试验发展项目(课题)经费支出,电力、燃气及水的生产和供应业研究与试验发展项目(课题)人员全时当量,电力、燃气及水的生产和供应业研究与试验发展项目(课题)数,电力、燃气及水的生产和供应业研究与试验发展项目(课题)经费支出,研究与试验发展项目(课题)人员全时当量,研究与试验发展项目(课题)数,研究与试验发展项目(课题)经费支出,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)人员全时当量,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)数,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)经费支出,租赁和商务服务业研究与试验发展项目(课题)人员全时当量,租赁和商务服务业研究与试验发展项目(课题)数,租赁和商务服务业研究与试验发展项目(课题)经费支出,采矿业研究与试验发展项目(课题)人员全时当量,采矿业研究与试验发展项目(课题)数,采矿业研究与试验发展项目(课题)经费支出,金融业研究与试验发展项目(课题)人员全时当量,金融业研究与试验发展项目(课题)数,金融业研究与试验发展项目(课题)经费支出
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
