,地市级群众业余文艺团体数,地市级群众文化机构举办展览,地市级群众文化机构举办训练班班次,地市级群众文化机构从业人员,地市级群众文化机构参加培训人次,地市级群众文化机构参加文艺活动人次,地市级群众文化机构参加研讨和讲座人次,地市级群众文化机构参观展览人次,地市级群众文化机构总支出,地市级群众文化机构拥有计算机台数,地市级群众文化机构收入,地市级群众文化机构数,地市级群众文化机构组织各类理论研讨和讲座次数,地市级群众文化机构组织文艺活动,地市级群众文化机构藏书,地市级群众文化机构馆办文艺团体数,地市级群众文化机构馆办文艺团体演出场次,地市级群众文化机构馆办老年大学数
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,5554.0,2216.0,15624.0,9476.0,,,,,78256.3,2427.0,8.25808,358.0,1225.0,12075.0,33.7,812.0,,82.0
2009年,5420.0,2169.0,13558.0,9123.0,63.847,,,,91500.0,3377.0,9.37,330.0,1082.0,16678.0,29.694,807.0,8471.0,70.0
2010年,6863.0,2331.0,16455.0,9422.0,87.8,,,,105000.0,4473.0,10.8,343.0,1372.0,17898.0,28.9,760.0,9563.0,88.0
2011年,3860.0,2519.0,23789.0,9651.0,140.43,2575.0,45.48,745.14,128020.2,4490.0,13.3322,348.0,2348.0,18956.0,42.76,1137.0,192453.0,79.0
2012年,4752.0,3114.0,27468.0,9968.0,193.85,2572.34,59.99,845.3,157583.4,5691.0,16.57034,351.0,3648.0,19618.0,48.81,1493.0,14510.0,80.0
2013年,5693.0,3326.0,22780.0,10349.0,178.0,2862.0,77.0,991.0,187000.0,6308.0,19.76,354.0,4030.0,22022.0,50.0,972.0,42830.0,79.0
2014年,8983.0,3713.0,29322.0,10514.0,204.643,3036.44,94.618,1045.908,208202.5,11737.0,21.79537,354.0,3955.0,62062.0,59.657,1061.0,11870.0,76.0
