,三北及长江流域等防护林建设工程造林面积,京津风沙源治理工程造林面积,天然林保护工程造林面积,林业重点工程造林面积,退耕还林工程造林面积,速生丰产用材林基地建设工程造林面积
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,448319.8,473271.57,641446.0,5188054.64,3568185.27,56832.0
2005年,368201.97,418507.0,424808.4,3431406.67,2203169.3,16720.0
2006年,360699.2,219714.0,224199.0,1866807.2,1048469.0,13726.0
2007年,574219.0,315132.0,732882.0,2681646.0,1056020.0,3393.0
2008年,765770.0,469042.0,1009016.0,3438150.0,1190347.0,3975.0
2009年,1893077.0,434817.0,1360913.0,4596244.0,886666.0,20771.0
2010年,439126.0,1360649.0,885479.0,3669648.0,982617.0,1777.0
2011年,1264026.0,545191.0,553564.0,3093865.0,730177.0,907.0
2012年,,,,,,
2013年,,,,,,
2014年,,,,,,
