,中等教育在校学生数,中等职业教育在校学生数,九年一贯制普通初中在校学生数,九年一贯制普通小学在校学生数,其他高等学历教育在校学生数,初中阶段教育在校学生数,初等教育在校学生数,初级中学在校学生数,十二年一贯制普通初中在校学生数,十二年一贯制普通小学在校学生数,十二年一贯制普通高中在校学生数,博士在校学生数,在职人员攻读博士、硕士学位在校学生数,学前教育在校学生数,小学在校学生数,工读学校在校学生数,成人专科在校学生数,成人中专在校学生数,成人初中在校学生数,成人小学在校学生数,成人本专科在校学生数,成人本科在校学生数,成人高中在校学生数,扫盲班在校学生数,技工学校在校学生数,普通专科在校学生数,普通中专在校学生数,普通初中在校学生数,普通初中完全中学在校学生数,普通小学在校学生数,普通本专科在校学生数,普通本科在校学生数,普通高中在校学生数,普通高中完全中学在校学生数,特殊教育在校学生数,研究生在校学生数,硕士在校学生数,网络专科在校学生数,网络本专科生在校学生数,网络本科在校学生数,职业初中在校学生数,职业高中在校学生数,高中在校学生数,高中阶段教育在校学生数,高等教育在校学生数,高级中学在校学生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9,4995.2,0.0,14624.0,85.63,0.0,1553.1,0.0,3.1,1.0934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9,4613.0,0.0,14662.9,102.0,0.0,1292.0,0.0,3.2,1.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.3,4538.3,0.0,14627.0,114.37,0.0,969.8,0.0,3.3,2.1604,0.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9,4144.6,0.0,14332.8,127.9,0.0,715.0,0.0,3.3,1.8848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,103.9,3888.0,0.0,13972.0,115.4,0.0,640.5,0.0,3.4,2.5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,114.3,3768.8,0.0,13578.0,120.7,0.0,629.0,0.0,3.6,3.7166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8,0.0,132.3,3864.3,0.0,13557.1,139.6,0.0,689.8,0.0,3.6,5.7566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,0.0,157.1,3964.8,0.0,13370.2,170.31,0.0,741.1,0.0,4.2,8.7331,0.0,0.0,0.0,0.0,45.23,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,0.0,175.7,4116.6,0.0,13182.5,188.0,0.0,773.4,0.0,4.7,11.0371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.1,0.0,187.3869,4174.4,0.0,12835.9,195.8725,0.0,773.73,0.0,5.2876,12.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
