,付费电视节目套数,全年公共电视节目播出时间,全年制作电视节目时间,全年动画电视播出小时数,全年电视剧播出部数,全年电视剧播出集数,公共电视节目套数,进口动画播出小时数,进口电视剧播出部数,进口电视剧播出集数
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,38056.0,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,91572.0,,,,,,,
1991年,,,108492.0,,,,,,,
1992年,,,148143.0,,,,,,,
1993年,,,218260.0,,,,,,,
1994年,,,,,,,,,,
1995年,,,383513.0,,,,,,,
1996年,,,,,,,,,,
1997年,,,616437.0,,,,,,,
1998年,,,725699.0,,,,,,,
1999年,,,790874.0,,,,,,,
2000年,,,871081.0,,,,,,,
2001年,,,1578755.0,,,,,,,
2002年,,,1680909.0,,,,,,,
2003年,,,1791110.0,,,,,,,
2004年,,,2117158.0,,,,,,,
2005年,,,2553861.0,,,,,,,
2006年,109.0,13604469.0,2618034.0,,22.7269,490.2687,2983.0,,13311.0,25.08
2007年,87.0,14546657.0,2553283.0,,22.5676,534.972,3127.0,,10652.0,26.4228
2008年,89.0,14953361.6167,2641949.0,,22.569,550.4326,3199.0,,9251.0,22.9565
2009年,87.0,15776767.1167,2653552.0,,23.825,605.0882,3250.0,,9099.0,22.4139
2010年,78.0,16355043.3,2742949.25,0.0,24.9164,635.8559,3272.0,0.0,8778.0,19.5069
2011年,96.0,16753029.4167,2950490.2,280254.616667,24.706,663.6255,3274.0,14822.2,6377.0,16.6401
2012年,80.0,16985291.0333,3436300.96667,304877.0,24.2298,662.2013,3273.0,12063.0,4872.0,10.7103
2013年,88.0,17057211.72,3397834.01667,293139.95,24.0996,661.4157,3250.0,14014.5333333,3616.0,9.8939
2014年,,17476125.9,3277393.51667,304838.583333,23.2802,669.001,3329.0,15883.3666667,2878.0,8.0527
