,农村医疗救助医疗救助,农村医疗救助支出,农村医疗救助资助参加合作医疗,城市医疗救助人次,城市医疗救助支出,城市医疗救助资助参加医疗保险
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,199.6,57000.0,654.9,,32000.0,
2006年,201.3,114198.1,1317.1,,81240.9,
2007年,377.097,280508.0,2517.34,,144379.2,
2008年,759.5,383000.0,3432.4,443.6,297000.0,642.6
2009年,729.98,646245.8,4059.14,410.3725,412043.1,1095.89
2010年,1019.2429,834810.0,4615.42,460.0756,495203.0,1461.25
2011年,1471.8336,1199610.4,4825.3,672.1549,676408.4,1549.81
2012年,1483.8,1329104.8,4490.4,689.9,708801.6,1387.1
2013年,,,4868.74,,,1490.09
2014年,,,5021.7322,,,1701.9896
