,中国对丹麦劳务合作派出人数,中国对乌克兰劳务合作派出人数,中国对亚美尼亚劳务合作派出人数,中国对俄罗斯劳务合作派出人数,中国对保加利亚劳务合作派出人数,中国对冰岛劳务合作派出人数,中国对匈牙利劳务合作派出人数,中国对塞尔维亚劳务合作派出人数,中国对奥地利劳务合作派出人数,中国对希腊劳务合作派出人数,中国对德国劳务合作派出人数,中国对意大利劳务合作派出人数,中国对挪威劳务合作派出人数,中国对捷克劳务合作派出人数,中国对摩尔多瓦劳务合作派出人数,中国对摩纳哥劳务合作派出人数,中国对斯洛伐克劳务合作派出人数,中国对斯洛文尼亚劳务合作派出人数,中国对格鲁吉亚劳务合作派出人数,中国对欧洲劳务合作派出人数,中国对比利时劳务合作派出人数,中国对法国劳务合作派出人数,中国对波兰劳务合作派出人数,中国对波斯尼亚-黑塞哥维那劳务合作派出人数,中国对爱尔兰劳务合作派出人数,中国对爱沙尼亚劳务合作派出人数,中国对瑞典劳务合作派出人数,中国对瑞士劳务合作派出人数,中国对白俄罗斯劳务合作派出人数,中国对立陶宛劳务合作派出人数,中国对罗马尼亚劳务合作派出人数,中国对芬兰劳务合作派出人数,中国对英国劳务合作派出人数,中国对荷兰劳务合作派出人数,中国对葡萄牙劳务合作派出人数,中国对西班牙劳务合作派出人数,中国对阿塞拜缰劳务合作派出人数,中国对阿尔巴尼亚劳务合作派出人数,中国对马其顿共和国劳务合作派出人数,中国对马耳他劳务合作派出人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
