,中国对中非承包工程完成营业额,中国对乌干达承包工程完成营业额,中国对乍得承包工程完成营业额,中国对佛得角承包工程完成营业额,中国对冈比亚承包工程完成营业额,中国对几内亚(比绍)承包工程完成营业额,中国对几内亚承包工程完成营业额,中国对刚果(布)承包工程完成营业额,中国对刚果(金)承包工程完成营业额,中国对利比亚承包工程完成营业额,中国对利比里亚承包工程完成营业额,中国对加纳承包工程完成营业额,中国对加蓬承包工程完成营业额,中国对南苏丹承包工程完成营业额,中国对南非承包工程完成营业额,中国对博茨瓦纳承包工程完成营业额,中国对卢旺达承包工程完成营业额,中国对厄立特里亚承包工程完成营业额,中国对吉布提承包工程完成营业额,中国对喀麦隆承包工程完成营业额,中国对圣多美和普林西比承包工程完成营业额,中国对坦桑尼亚承包工程完成营业额,中国对埃及承包工程完成营业额,中国对埃塞俄比亚承包工程完成营业额,中国对塞内加尔承包工程完成营业额,中国对塞拉利昂承包工程完成营业额,中国对塞舌尔承包工程完成营业额,中国对多哥承包工程完成营业额,中国对安哥拉承包工程完成营业额,中国对尼日利亚承包工程完成营业额,中国对尼日尔承包工程完成营业额,中国对布基纳法索承包工程完成营业额,中国对布隆迪承包工程完成营业额,中国对摩洛哥承包工程完成营业额,中国对斯威士兰承包工程完成营业额,中国对毛里塔尼亚承包工程完成营业额,中国对毛里求斯承包工程完成营业额,中国对津巴布韦承包工程完成营业额,中国对科摩罗承包工程完成营业额,中国对科特迪瓦承包工程完成营业额,中国对突尼斯承包工程完成营业额,中国对索马里承包工程完成营业额,中国对纳米比亚承包工程完成营业额,中国对肯尼亚承包工程完成营业额,中国对苏丹承包工程完成营业额,中国对莫桑比克承包工程完成营业额,中国对莱索托承包工程完成营业额,中国对贝宁承包工程完成营业额,中国对赞比亚承包工程完成营业额,中国对赤道几内亚承包工程完成营业额,中国对阿尔及利亚承包工程完成营业额,中国对非洲承包工程完成营业额,中国对马拉维承包工程完成营业额,中国对马达加斯加承包工程完成营业额,中国对马里承包工程完成营业额
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
