,其他部门办初中毕业生数,农村其他部门办初中毕业生数,农村初中毕业生数,农村地方企业办初中毕业生数,农村教育部门办初中毕业生数,农村民办初中毕业生数,初中毕业生数,县镇其他部门办初中毕业生数,县镇初中毕业生数,县镇地方企业办初中毕业生数,县镇教育部门办初中毕业生数,县镇民办初中毕业生数,地方企业办初中毕业生数,城市其他部门办初中毕业生数,城市初中毕业生数,城市地方企业办初中毕业生数,城市教育部门办初中毕业生数,城市民办初中毕业生数,教育部门办初中毕业生数,民办初中毕业生数
1978年,,,,,,,1692.6,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,964.8,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,1007.2,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,1123.01,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,1244.36,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,1633.45,,,,,,,,,,,,,
2001年,,,,,,,1731.5,,,,,,,,,,,,,
2002年,,,,,,,1903.69,,,,,,,,,,,,,
2003年,,,,,,,2018.5,,,,,,,,,,,,,
2004年,,,,,,,2087.3,,,,,,,,,,,,,
2005年,,,,,,,2123.415,,,,,,,,,,,,,
2006年,,,,,,,2071.6,,,,,,,,,,,,,
2007年,,,,,,,1963.7428,,,,,,,,,,,,,
2008年,,,,,,,1867.9943,,,,,,,,,,,,,
2009年,,,,,,,1797.7254,,,,,,,,,,,,,
2010年,,,,,,,1750.3714,,,,,,,,,,,,,
2011年,11.2902,0.9038,417.3464,0.049,403.3717,13.0219,1736.7,6.4038,855.313,0.6178,794.0281,54.2633,1.0431,3.9826,464.0192,0.3763,395.7574,63.9029,1593.1572,131.1881
2012年,10.9617,1.0407,363.9573,0.0194,351.4323,11.4649,1660.8,6.69,834.9423,0.3289,771.0895,56.8339,0.6053,3.231,461.8755,0.257,392.4881,65.8994,1515.0099,134.1982
2013年,10.59,0.8826,313.9076,0.0191,301.4402,11.5657,1561.5452,6.349,788.5935,0.2714,723.3829,58.5902,0.5431,3.3584,459.0441,0.2526,387.0973,68.3358,1411.9204,138.4917
2014年,,,,,,,1413.5127,,,,,,,,,,,,,
