,其他部门办初中招生数,农村其他部门办初中招生数,农村初中招生数,农村地方企业办初中招生数,农村教育部门办初中招生数,农村民办初中招生数,初中招生数,县镇其他部门办初中招生数,县镇初中招生数,县镇地方企业办初中招生数,县镇教育部门办初中招生数,县镇民办初中招生数,地方企业办初中招生数,城市其他部门办初中招生数,城市初中招生数,城市地方企业办初中招生数,城市教育部门办初中招生数,城市民办初中招生数,教育部门办初中招生数,民办初中招生数
1978年,,,,,,,2006.0,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,1557.6,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,1367.0,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,1389.26,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,1781.14,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,2295.57,,,,,,,,,,,,,
2001年,,,,,,,2287.85,,,,,,,,,,,,,
2002年,,,,,,,2281.82,,,,,,,,,,,,,
2003年,,,,,,,2220.1172,,,,,,,,,,,,,
2004年,,,,,,,2094.6172,,,,,,,,,,,,,
2005年,,,,,,,1987.5826,,,,,,,,,,,,,
2006年,,,,,,,1929.5351,,,,,,,,,,,,,
2007年,,,,,,,1868.5469,,,,,,,,,,,,,
2008年,,,,,,,1859.5954,,,,,,,,,,,,,
2009年,,,,,,,1788.4523,,,,,,,,,,,,,
2010年,,,,,,,1716.5815,,,,,,,,,,,,,
2011年,10.704,0.8784,371.4873,0.0446,355.5483,15.016,1634.7296,5.8829,793.9411,0.5795,724.9219,62.5568,0.9479,3.9427,469.3012,0.3238,388.9596,76.0751,1469.4298,153.6479
2012年,10.5999,0.9556,318.4329,0.0112,304.7445,12.7216,1570.8,6.3973,770.376,0.3062,699.3593,64.3132,0.5835,3.247,481.9611,0.2661,397.6777,80.7703,1401.7815,157.8051
2013年,8.8755,0.7255,274.5389,0.006,261.0008,12.8066,1496.0867,4.9946,740.0752,0.3116,669.5695,65.1995,0.6183,3.1554,481.4726,0.3007,393.9113,84.1052,1324.4816,162.1113
2014年,,,,,,,1447.8215,,,,,,,,,,,,,
