,中央艺术表演场馆收入合计,书场、曲艺场收入合计,其他艺术表演场馆收入合计,其他部门艺术表演场馆收入合计,剧场收入合计,县、市及以下艺术表演场馆收入合计,国有艺术表演场馆收入合计,地、市艺术表演场馆收入合计,影剧院收入合计,执行事业会计制度艺术表演场馆收入合计,执行企业会计制度艺术表演场馆收入合计,文化部门艺术表演场馆收入合计,杂技、马戏场收入合计,省、区、市艺术表演场馆收入合计,综合性艺术表演场馆收入合计,艺术表演场馆收入合计,集体艺术表演场馆收入合计,音乐厅收入合计
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,
2011年,2685.3,3516.7,66334.4,451036.8,261959.6,279299.8,334823.1,206012.5,119997.8,242746.7,474389.3,266099.2,23989.6,229138.4,152738.4,717136.0,3710.0,88599.5
2012年,3416.6,18729.8,36754.8,556437.1,421260.6,438277.5,294991.9,197909.9,134673.2,193535.6,603970.6,241069.2,2806.5,157902.3,137113.3,797506.2,865.1,46168.1
2013年,4331.0,1687.0,4273.0,,230011.0,102748.0,329804.0,152284.0,104009.0,245059.0,181302.0,,312.0,166998.0,69382.0,426361.0,2107.0,16687.0
2014年,5940.6,1634.5,4893.8,,214509.8,110777.1,318888.0,144858.0,113052.3,233930.3,169768.8,,336.0,142123.4,50673.7,403699.1,2125.5,18599.0
