,交通运输大类网络专科在校学生数,公共事业大类网络专科在校学生数,公安大类网络专科在校学生数,农林牧渔大类网络专科在校学生数,制造大类网络专科在校学生数,医药卫生大类网络专科在校学生数,土建大类网络专科在校学生数,师范网络专科在校学生数,文化教育大类网络专科在校学生数,旅游大类网络专科在校学生数,材料与能源大类网络专科在校学生数,水利大类网络专科在校学生数,法律大类网络专科在校学生数,环保、气象与安全大类网络专科在校学生数,生化与药品大类网络专科在校学生数,电子信息大类网络专科在校学生数,网络专科生在校生数,艺术设计传媒大类网络专科在校学生数,财经大类网络专科在校学生数,资源开发与测绘大类网络专科在校学生数,轻纺食品大类网络专科在校学生数
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,109.545,,,,
2005年,,,,,,,,,,,,,,,,,138.0387,,,,
2006年,,,,,,,,,,,,,,,,,149.6052,,,,
2007年,,,,,,,,,,,,,,,,,173.5709,,,,
2008年,,,,,,,,,,,,,,,,,211.2241,,,,
2009年,,,,,,,,,,,,,,,,,260.0079,,,,
2010年,,,,,,,,,,,,,,,,,289.104,,,,
2011年,6.1402,57.7559,0.2195,18.9416,13.2861,14.9372,21.8003,5.2299,30.1493,1.6606,1.4797,1.7783,24.1464,0.4388,0.8676,15.7007,317.0073,2.9315,102.2089,2.3784,0.1863
2012年,7.3178,70.8492,0.2153,21.5762,15.995,15.3389,28.3677,5.1977,36.074,1.8765,1.0941,1.8377,26.3934,0.6707,1.0701,17.0509,370.1414,1.9931,118.9683,3.2203,0.2322
2013年,8.4336,78.5008,0.2036,21.344,19.0592,16.3984,35.5818,4.048,38.8541,2.1322,1.0287,2.0089,25.3697,0.8222,1.1543,17.2766,397.1306,3.1034,121.5227,3.9718,0.3646
2014年,8.8024,79.3387,0.2121,19.8903,21.5971,17.7215,39.6924,2.66,38.2987,2.2595,1.0792,2.0548,23.6987,0.7887,1.2351,17.0688,402.7462,3.0948,121.538,4.0927,0.2827
