,中央专项收入,中央个人所得税,中央企业所得税,中央关税,中央其他收入,中央其他税收收入,中央出口货物退增值税、消费税,中央印花税,中央国内增值税,中央国内消费税,中央城市维护建设税,中央税收收入,中央罚没收入,中央船舶吨税,中央营业税,中央行政事业性收费,中央证券交易印花税,中央财政收入,中央车辆购置税,中央进口货物增值税、消费税,中央非税收入
1978年,,,,,,,,,,,,,,,,,,175.77,,,
1979年,,,,,,,,,,,,,,,,,,231.34,,,
1980年,,,,,,,,,,,,,,,,,,284.45,,,
1981年,,,,,,,,,,,,,,,,,,311.07,,,
1982年,,,,,,,,,,,,,,,,,,346.84,,,
1983年,,,,,,,,,,,,,,,,,,490.01,,,
1984年,,,,,,,,,,,,,,,,,,665.47,,,
1985年,,,,,,,,,,,,,,,,,,769.63,,,
1986年,,,,,,,,,,,,,,,,,,778.42,,,
1987年,,,,,,,,,,,,,,,,,,736.29,,,
1988年,,,,,,,,,,,,,,,,,,774.76,,,
1989年,,,,,,,,,,,,,,,,,,822.52,,,
1990年,,,,,,,,,,,,,,,,,,992.42,,,
1991年,,,,,,,,,,,,,,,,,,938.25,,,
1992年,,,,,,,,,,,,,,,,,,979.51,,,
1993年,,,,,,,,,,,,,,,,,,957.51,,,
1994年,,,,,,,,,,,,,,,,,,2906.5,,,
1995年,,,,,,,,,,,,,,,,,,3256.62,,,
1996年,,,,,,,,,,,,,,,,,,3661.07,,,
1997年,,,,,,,,,,,,,,,,,,4226.92,,,
1998年,,,,,,,,,,,,,,,,,,4892.0,,,
1999年,,,,,,,,,,,,,,,,,,5849.21,,,
2000年,,,,,,,,,,,,,,,,,,6989.17,,,
2001年,,,,,,,,,,,,,,,,,,8582.74,,,
2002年,,605.95,1882.21,704.27,,,-1150.0,,4631.01,1046.32,3.71,10230.29,,8.45,155.3,,108.62,10388.64,348.8,1885.65,
2003年,,850.79,1740.71,923.13,,,-1988.59,,5425.55,1182.26,3.3,11604.04,,9.38,76.89,,123.87,11865.27,468.16,2788.59,
2004年,,1042.24,2361.33,1043.77,,,-2936.32,,6613.51,1501.9,4.32,14166.09,,11.54,110.99,,166.69,14503.1,545.7,3700.42,
2005年,,1256.94,3204.03,1066.17,,,-4048.94,,7931.35,1633.81,4.66,16051.81,,13.81,129.64,,65.3,16548.53,583.26,4211.78,
2006年,,1472.17,4358.46,1141.78,,,-4877.15,,9588.43,1885.69,6.29,19576.14,,15.74,160.54,,174.09,20456.62,687.46,4962.64,
2007年,153.69,1911.8,5646.97,1432.57,843.71,0.06,-5635.0,1945.15,11602.61,2206.83,7.69,26369.85,28.25,18.2,202.66,353.66,1945.15,27749.16,876.9,6153.41,1379.31
2008年,200.65,2234.23,7173.55,1769.95,1106.63,0.14,-5865.93,949.68,13497.76,2568.27,7.79,30968.68,31.72,20.12,232.1,372.88,949.68,32680.56,989.89,7391.13,1711.88
2009年,223.71,2366.81,7619.09,1483.81,1933.06,0.04,-6486.61,495.04,13915.96,4761.22,124.19,33364.15,35.25,23.79,167.1,359.54,495.04,35915.71,1163.92,7729.79,2551.56
2010年,298.03,2902.97,7795.17,2027.83,1253.33,0.02,-7327.31,527.82,15897.21,6071.55,150.84,40509.3,31.79,26.63,153.34,396.02,527.82,42488.47,1792.59,10490.64,1979.17
2011年,361.4,3633.07,10023.35,2559.12,1891.49,2.99,-9204.75,425.28,18277.38,6936.21,169.37,48631.65,38.76,29.76,174.56,404.02,425.28,51327.32,2044.89,13560.42,2695.67
2012年,412.67,3492.65,12082.93,2783.93,2049.81,,-10428.89,294.39,19678.35,7875.58,190.87,53295.2,40.35,40.98,204.73,377.2,294.39,56175.23,2228.91,14802.16,2880.03
2013年,406.39,3918.99,14443.86,2630.61,2828.36,,-10518.85,455.55,20533.81,8231.32,176.3,56639.82,45.43,43.55,78.44,278.48,455.55,60198.48,2596.34,14004.56,3558.66
2014年,406.59,4426.03,15813.55,2843.41,1387.79,,-11356.46,646.88,21103.03,8907.12,182.82,60035.4,88.93,45.23,68.94,365.63,646.88,64493.45,2885.11,14425.3,4458.05
