,县市级公共图书馆举办培训班数,县市级公共图书馆举办展览数,县市级公共图书馆书刊外借册数,县市级公共图书馆书刊文献外借人次,县市级公共图书馆从业人员数,县市级公共图书馆当年购买的报刊种类数,县市级公共图书馆总藏量,县市级公共图书馆机构数,县市级公共图书馆流通人次,县市级公共图书馆电子阅览室终端数,县市级公共图书馆累计发放有效借书证数,县市级公共图书馆组织各类讲座次数,县市级公共图书馆计算机台数,县市级公共图书馆阅览室座席
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,
2010年,,,14488.6,8224.0,30579.0,,26121.9,2512.0,17970.6,62821.0,916.709,,92928.0,
2011年,12358.0,7310.0,16044.4,9373.071,31378.0,50.4552,29522.836,2570.0,20611.538,71818.0,905.4184,22765.0,105053.0,46.1546
2012年,15878.0,8534.0,18890.611,10533.527,31928.0,53.22,34272.322,2683.0,23800.453,77297.0,1014.8603,28779.0,113414.0,48.779
2013年,17457.0,11097.0,20725.0,11929.0,32497.0,62.1,34046.0,2712.0,26443.0,85276.0,1232.0,31791.0,130341.0,53.82
2014年,18928.0,12378.0,23261.448,12734.717,32401.0,60.6883,36223.962,2716.0,28623.744,90103.0,1790.8548,34844.0,132072.0,57.2323
