,专用设备制造业中型工业企业新产品出口销售收入,交通运输设备制造业中型工业企业新产品出口销售收入,仪器仪表及文化、办公用机械制造业中型工业企业新产品出口销售收入,农副食品加工业中型工业企业新产品出口销售收入,化学原料及化学制品制造业中型工业企业新产品出口销售收入,化学纤维制造业中型工业企业新产品出口销售收入,医药制造业中型工业企业新产品出口销售收入,印刷业和记录媒介的复制中型工业企业新产品出口销售收入,塑料制品业中型工业企业新产品出口销售收入,大中型工业企业新产品出口销售收入,家具制造业中型工业企业新产品出口销售收入,工艺品及其他制造业中型工业企业新产品出口销售收入,文教体育用品制造业中型工业企业新产品出口销售收入,有色金属冶炼及压延加工业中型工业企业新产品出口销售收入,有色金属矿采选业中型工业企业新产品出口销售收入,木材加工及木、竹、藤、棕、草制品业中型工业企业新产品出口销售收入,橡胶制品业中型工业企业新产品出口销售收入,水的生产和供应业中型工业企业新产品出口销售收入,烟草制品业中型工业企业新产品出口销售收入,煤炭开采和洗选业中型工业企业新产品出口销售收入,燃气生产和供应业中型工业企业新产品出口销售收入,电力、热力的生产和供应业中型工业企业新产品出口销售收入,电气机械及器材制造业中型工业企业新产品出口销售收入,皮革、毛皮、羽毛(绒)及其制品业中型工业企业新产品出口销售收入,石油加工、炼焦及核燃料加工业中型工业企业新产品出口销售收入,石油和天然气开采业中型工业企业新产品出口销售收入,纺织业中型工业企业新产品出口销售收入,纺织服装、鞋、帽制造业中型工业企业新产品出口销售收入,通信设备、计算机及其他电子设备制造业中型工业企业新产品出口销售收入,通用设备制造业中型工业企业新产品出口销售收入,造纸及纸制品业中型工业企业新产品出口销售收入,金属制品业中型工业企业新产品出口销售收入,非金属矿物制品业中型工业企业新产品出口销售收入,非金属矿采选业中型工业企业新产品出口销售收入,食品制造业中型工业企业新产品出口销售收入,饮料制造业中型工业企业新产品出口销售收入,黑色金属冶炼及压延加工业中型工业企业新产品出口销售收入,黑色金属矿采选业中型工业企业新产品出口销售收入
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
