,个体全社会固定资产投资,全社会固定资产投资,其他全社会固定资产投资,内资企业全社会固定资产投资,国有全社会固定资产投资,外商投资全社会固定资产投资,有限责任公司全社会固定资产投资,港、澳、台商投资全社会固定资产投资,私营全社会固定资产投资,联营全社会固定资产投资,股份合作全社会固定资产投资,股份有限公司全社会固定资产投资,集体全社会固定资产投资
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,910.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,1230.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,1430.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,1832.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,2543.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,3120.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,3791.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,4753.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,4410.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,4517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,5594.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,8080.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,13072.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,17042.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,20019.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,22913.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,24941.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,28406.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,29854.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,32917.73,0.0,30311.5,0.0,1313.2,0.0,1293.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,37213.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,43499.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,55566.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,70477.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,88773.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,5163.8724,109998.1624,2424.7296,99139.9038,32963.3865,6113.1221,26265.4708,4745.1365,19267.1838,519.7071,757.2008,8174.235,3604.1178
2007年,6058.6659,137323.9381,2865.7666,123970.0376,38706.3453,7355.3938,33509.3302,5998.5067,27055.5856,607.556,874.0046,9655.3388,4637.4446
2008年,7190.7986,172828.3998,3879.1227,157421.4017,48704.8928,8450.8446,42044.2554,6956.1535,35575.6199,645.9054,1031.1819,12052.3484,6297.2766
2009年,8891.7186,224598.7679,5630.9576,209111.0,69692.4994,8396.0,53592.6308,7091.7,46903.2075,666.3576,1158.2333,14092.4729,8482.9569
2010年,9506.7,251683.7688,7676.0,260914.4,83316.5,8912.4,70321.5,8295.1,60572.3,831.0,1445.6,17203.0,10041.9
2011年,10483.2286,311485.1254,10312.6569,292768.3,82494.7844,9285.9,86254.937,9431.0,71337.9805,988.602,1627.5203,19023.4434,10245.108
2012年,11588.6737,374694.7355,15658.5846,353871.7282,96220.2474,10547.1318,102511.8371,10275.8755,91422.3476,1265.9701,1745.48,21484.863,11973.7247
2013年,12420.1304,446294.0902,19246.2952,424136.1037,109849.9209,11130.3331,121606.5138,11027.6534,121217.1241,1358.4755,1867.9922,23257.2878,13312.3638
2014年,12602.5367,512020.6528,24309.3455,489033.5619,125005.1637,11052.5651,136462.2484,11934.5258,149539.308,1562.1387,1992.4698,22371.4901,15188.861
