,成人专科毕业生数,成人高等学校办交通运输大类成人专科毕业生数,成人高等学校办公共事业大类成人专科毕业生数,成人高等学校办公安大类成人专科毕业生数,成人高等学校办农林牧渔大类成人专科毕业生数,成人高等学校办制造大类成人专科毕业生数,成人高等学校办医药卫生大类成人专科毕业生数,成人高等学校办土建大类成人专科毕业生数,成人高等学校办师范成人专科毕业生数,成人高等学校办成人专科毕业生数,成人高等学校办文化教育大类成人专科毕业生数,成人高等学校办旅游大类成人专科毕业生数,成人高等学校办材料与能源大类成人专科毕业生数,成人高等学校办水利大类成人专科毕业生数,成人高等学校办法律大类成人专科毕业生数,成人高等学校办环保、气象与安全大类成人专科毕业生数,成人高等学校办生化与药品大类成人专科毕业生数,成人高等学校办电子信息大类成人专科毕业生数,成人高等学校办艺术设计传媒大类成人专科毕业生数,成人高等学校办财经大类成人专科毕业生数,成人高等学校办资源开发与测绘大类成人专科毕业生数,成人高等学校办轻纺食品大类成人专科毕业生数,普通高等学校办交通运输大类成人专科毕业生数,普通高等学校办公共事业大类成人专科毕业生数,普通高等学校办公安大类成人专科毕业生数,普通高等学校办农林牧渔大类成人专科毕业生数,普通高等学校办制造大类成人专科毕业生数,普通高等学校办医药卫生大类成人专科毕业生数,普通高等学校办土建大类成人专科毕业生数,普通高等学校办师范成人专科毕业生数,普通高等学校办成人专科毕业生数,普通高等学校办文化教育大类成人专科毕业生数,普通高等学校办旅游大类成人专科毕业生数,普通高等学校办材料与能源大类成人专科毕业生数,普通高等学校办水利大类成人专科毕业生数,普通高等学校办法律大类成人专科毕业生数,普通高等学校办环保、气象与安全大类成人专科毕业生数,普通高等学校办生化与药品大类成人专科毕业生数,普通高等学校办电子信息大类成人专科毕业生数,普通高等学校办艺术设计传媒大类成人专科毕业生数,普通高等学校办财经大类成人专科毕业生数,普通高等学校办资源开发与测绘大类成人专科毕业生数,普通高等学校办轻纺食品大类成人专科毕业生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
